"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.0810402436360855,0.181366207730681,-0.446832100919406,0.655008605948101,NA,7874
"scale(logK)",-0.00960970523930081,0.0120411817322952,-0.798069944707089,0.424854018427123,NA,7874
"scale(logM)",-0.0359131211737378,0.0122873467217092,-2.92277266908135,0.00347919047611975,NA,7874
"age",0.00034480324484375,0.00145359687909209,0.237206924287781,0.812502448426371,NA,7874
"femaleyes",0.00229735844875019,0.0218703421086771,0.105044467861283,0.916343204674605,NA,7874
"household.income[<50K]",0.146537964564669,0.0346291817367139,4.23163231747141,2.34638454823472e-05,NA,7874
"household.income[>=100K]",-0.0943826349854277,0.0284929170504857,-3.31249463921837,0.000928855620229782,NA,7874
"high.educ< HS Diploma",-0.0624219802131571,0.0682375319748743,-0.914774881309327,0.36033789279786,NA,7874
"high.educBachelor",0.00856824640989521,0.0491528022771559,0.174318574179795,0.86161959325779,NA,7874
"high.educPost Graduate Degree",-0.0598315690389081,0.0501608889172083,-1.19279323653258,0.232986374344839,NA,7874
"high.educSome College",0.071175601435739,0.0449904442748174,1.58201597212451,0.113686169354982,NA,7874
"marriedno",0.0975747125485571,0.0293626232016348,3.3230924866115,0.000894323007977088,NA,7874
"race.4levelAsian",-0.122695646847064,0.0744016620409617,-1.64909819863317,0.0991674909874233,NA,7874
"race.4levelBlack",0.0382671948695968,0.0361625585532741,1.05819931997406,0.289997109050068,NA,7874
"race.4levelOther/Mixed",0.058191321845805,0.0305279384797792,1.90616611352087,0.0566651034121814,NA,7874
"hispyes",-0.0154993351795488,0.0312165199474724,-0.496510668249674,0.619548050966852,NA,7874
"logK",NA,NA,NA,NA,8e-05,NA
"logM",NA,NA,NA,NA,0.00107,NA
