"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.176899634602594,0.17776837921368,-0.995113053204804,0.319711951171812,NA,7867
"scale(logK)",0.00184287064596192,0.0118341181006442,0.155725220104201,0.87625362048603,NA,7867
"scale(logM)",-0.0762787834827092,0.0120634560506386,-6.32312855971908,2.70337264646332e-10,NA,7867
"age",0.00113336908065256,0.00142585738536499,0.794868471619585,0.426714043685306,NA,7867
"femaleyes",0.014035089876468,0.0214505889087395,0.654298580620777,0.512938625636218,NA,7867
"household.income[<50K]",0.0942422993155172,0.0340436658411503,2.76827706379381,0.00564856588565636,NA,7867
"household.income[>=100K]",-0.118653945574725,0.0279370330088569,-4.24719208861972,2.18963804565454e-05,NA,7867
"high.educ< HS Diploma",-0.0194465690021452,0.0670296325530336,-0.290118985610717,0.771732873742339,NA,7867
"high.educBachelor",0.00934748447839166,0.0483427803152606,0.193358437752925,0.846683264900731,NA,7867
"high.educPost Graduate Degree",-0.0589646987614998,0.0493173309508181,-1.19561820610898,0.231881694277093,NA,7867
"high.educSome College",0.130847981637841,0.0440906294811521,2.96770500166653,0.0030093743177135,NA,7867
"marriedno",0.11591366991066,0.0286848779421263,4.04093300116261,5.37469676754712e-05,NA,7867
"race.4levelAsian",-0.15095502111715,0.0729462171822323,-2.06940163518059,0.0385410534044513,NA,7867
"race.4levelBlack",0.0171941618516585,0.0355456742844386,0.483720233130755,0.628597922756394,NA,7867
"race.4levelOther/Mixed",0.0684106387897128,0.0300371822296273,2.27753183593352,0.0227812533633421,NA,7867
"hispyes",0.0212254790199153,0.0305602394131639,0.69454557384038,0.487360682901076,NA,7867
"logK",NA,NA,NA,NA,0,NA
"logM",NA,NA,NA,NA,0.005,NA
