"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.562278730025543,0.181756126287369,-3.09358887378872,0.00198455022835861,NA,7766
"scale(logK)",0.0169384216943373,0.0121073490836693,1.39901984962045,0.161847049631806,NA,7766
"scale(logM)",0.0496093855457364,0.0123583085360732,4.01425368212239,6.01963062989908e-05,NA,7766
"age",0.00363965004330504,0.00146233923468322,2.48892319714959,0.0128338883568357,NA,7766
"femaleyes",0.106642895586176,0.0219763950161096,4.85261097227285,1.24226494985591e-06,NA,7766
"household.income[<50K]",-0.127010675898552,0.0347936411502974,-3.65039908729031,0.000263556587522996,NA,7766
"household.income[>=100K]",0.0282097788388456,0.0286730597509659,0.983842641275676,0.325223602231085,NA,7766
"high.educ< HS Diploma",0.00631546714096661,0.0688954756075576,0.0916673712645628,0.926964691333718,NA,7766
"high.educBachelor",0.16342089741946,0.049351996833784,3.31133303420035,0.000932773330026066,NA,7766
"high.educPost Graduate Degree",0.268343422909948,0.0503104036795404,5.33375610776653,9.89186978874671e-08,NA,7766
"high.educSome College",0.0898023789672101,0.0453028031957487,1.98226980743738,0.0474843129351295,NA,7766
"marriedno",-0.0470639553332921,0.0294461416000753,-1.59830635784118,0.110015579223678,NA,7766
"race.4levelAsian",0.240999116421082,0.0747008236486655,3.2261908858536,0.00125970710238553,NA,7766
"race.4levelBlack",-0.247610382335401,0.0362905558439741,-6.82299779038837,9.58736378555156e-12,NA,7766
"race.4levelOther/Mixed",0.00369167061465654,0.0307524217100591,0.120044874821972,0.904450711709388,NA,7766
"hispyes",-0.0903797911974961,0.0312881929883852,-2.88862291379521,0.00388004795437695,NA,7766
"logK",NA,NA,NA,NA,0.00025,NA
"logM",NA,NA,NA,NA,0.00206,NA
