"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-1.02121145047687,0.173116152922175,-5.89899575076604,3.80870553046196e-09,NA,7875
"scale(logK)",0.0218157434127522,0.0114627844447085,1.90318011456831,0.057053549130466,NA,7875
"scale(logM)",-0.019211162727109,0.0116776517190312,-1.64512208356072,0.0999846288700994,NA,7875
"age",0.00737822054119282,0.00138164802987463,5.34015927476286,9.54631015435323e-08,NA,7875
"femaleyes",0.0366819356013708,0.02079948392683,1.76359835322901,0.0778384757504436,NA,7875
"household.income[<50K]",0.1244304337512,0.0330115690666716,3.76929777254437,0.000164906347631822,NA,7875
"household.income[>=100K]",-0.146926941659398,0.0271575387972626,-5.4101714723209,6.48183979253801e-08,NA,7875
"high.educ< HS Diploma",0.0709252827658124,0.0652265949800516,1.08736754980854,0.276907753158906,NA,7875
"high.educBachelor",0.197929531714079,0.0469245213258572,4.21804050678749,2.49201023340948e-05,NA,7875
"high.educPost Graduate Degree",0.189836239954866,0.047881424855037,3.96471576461234,7.41350191061961e-05,NA,7875
"high.educSome College",0.206606735860175,0.0428303803984048,4.82383611675488,1.43473433253501e-06,NA,7875
"marriedno",0.136854259194231,0.0280287239753955,4.8826432239429,1.0673794769723e-06,NA,7875
"race.4levelAsian",-0.292982260836666,0.0701078542895488,-4.17902193421347,2.95937391073462e-05,NA,7875
"race.4levelBlack",-0.324765701733544,0.0343985509713949,-9.44126111601657,4.75999203156752e-21,NA,7875
"race.4levelOther/Mixed",0.0114309568619483,0.0289185214998499,0.395281510571267,0.692645871509458,NA,7875
"hispyes",-0.0365263154807047,0.0298074132948545,-1.22541044133508,0.220457336965788,NA,7875
"logK",NA,NA,NA,NA,0.00045,NA
"logM",NA,NA,NA,NA,0.00033,NA
