"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.130878334675208,0.183904516471439,-0.711664602840432,0.476693914968675,NA,7765
"scale(logK)",-4.78854112268873e-05,0.0121986635089962,-0.00392546373556193,0.996868042181796,NA,7765
"scale(logM)",0.032847376701123,0.012435107152192,2.64150330987159,0.00827047258244407,NA,7765
"age",-0.000425669046267379,0.00147305891096071,-0.288969465579462,0.772612474093299,NA,7765
"femaleyes",-0.0459439148228108,0.0221436808747726,-2.07480929131131,0.038037139134023,NA,7765
"household.income[<50K]",-0.112454515399011,0.0349882936012204,-3.21406115658892,0.00131407925378411,NA,7765
"household.income[>=100K]",0.0692762819877298,0.0288124403543997,2.40438786633883,0.0162228937210345,NA,7765
"high.educ< HS Diploma",-0.0981663895108384,0.0694285793440161,-1.41391902928659,0.157425850837762,NA,7765
"high.educBachelor",0.22878429855714,0.0496286331454121,4.60992544136368,4.09265165439967e-06,NA,7765
"high.educPost Graduate Degree",0.28188823150078,0.0506187360843507,5.56885164084388,2.65004895579798e-08,NA,7765
"high.educSome College",0.1735598057406,0.04561159759347,3.80516831020731,0.000142798631899381,NA,7765
"marriedno",0.0233443942092869,0.029640588853277,0.78758199861829,0.430965336525225,NA,7765
"race.4levelAsian",0.341961381813933,0.0751613010380858,4.54970013944615,5.45403206630076e-06,NA,7765
"race.4levelBlack",-0.13850503313523,0.0365338495681158,-3.79114259166676,0.000151094166664512,NA,7765
"race.4levelOther/Mixed",0.0214785723394532,0.030986346736202,0.693162460302536,0.488228377928804,NA,7765
"hispyes",-0.00274753357622782,0.0315044958697073,-0.0872108408777834,0.930506175809212,NA,7765
"logK",NA,NA,NA,NA,0,NA
"logM",NA,NA,NA,NA,0.00089,NA
