"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-1.22324252434378,0.173816259925458,-7.03756095585289,2.12515209780601e-12,NA,7689
"scale(logK)",0.0207476904516427,0.011564922992595,1.79401890223804,0.0728495082993717,NA,7689
"scale(logM)",0.081870985410668,0.0117866470984286,6.94607929863132,4.06303887756298e-12,NA,7689
"age",0.00875312806636021,0.0013915988458411,6.28997939493812,3.34913851271224e-10,NA,7689
"femaleyes",0.102602622846216,0.0208836384262489,4.91306259723661,9.15208332997965e-07,NA,7689
"household.income[<50K]",-0.130436081740463,0.0330286890704093,-3.94917525979928,7.91226379605388e-05,NA,7689
"household.income[>=100K]",0.067120335420459,0.0272702002270366,2.461307026045,0.0138650322042742,NA,7689
"high.educ< HS Diploma",-0.0915645821797334,0.0659040710969286,-1.3893615471048,0.164763152085628,NA,7689
"high.educBachelor",0.24574544960721,0.0470677461431748,5.22110085449342,1.82529907949571e-07,NA,7689
"high.educPost Graduate Degree",0.393951160445651,0.0479400737181159,8.21757519110328,2.4176346387916e-16,NA,7689
"high.educSome College",0.123226911732857,0.0433156509443354,2.84485882230454,0.0044548750832478,NA,7689
"marriedno",-0.0599649045410657,0.0279542518123456,-2.14510854891072,0.0319754670704341,NA,7689
"race.4levelAsian",0.244379887245744,0.0708397065424832,3.44975860535485,0.000564106729358954,NA,7689
"race.4levelBlack",-0.392004700173081,0.0347373293910462,-11.2848254901865,2.65165713541498e-29,NA,7689
"race.4levelOther/Mixed",-0.0289951557561606,0.0292656915462104,-0.990755872294266,0.321836042955011,NA,7689
"hispyes",-0.0916232715410128,0.0297287651333891,-3.08197367532459,0.0020636199450816,NA,7689
"logK",NA,NA,NA,NA,0.00042,NA
"logM",NA,NA,NA,NA,0.00618,NA
