"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.807277466896751,0.174289944698503,-4.63180746481517,3.68418641773785e-06,NA,7741
"scale(logK)",0.00280293114534886,0.0115808737666087,0.242031059299738,0.80876252135516,NA,7741
"scale(logM)",0.110510040476716,0.0118302822792385,9.3412851754734,1.22222800154471e-20,NA,7741
"age",0.00513891967365944,0.00140077871091603,3.66861634433242,0.000245507501622212,NA,7741
"femaleyes",-0.0570376894045987,0.0210277245813963,-2.71249935692335,0.00669258078304545,NA,7741
"household.income[<50K]",-0.117202989841706,0.0332253045241721,-3.52752191500423,0.000421905247514568,NA,7741
"household.income[>=100K]",0.0959491000390545,0.0274253408455115,3.49855633807949,0.000470418588181055,NA,7741
"high.educ< HS Diploma",-0.162831739505047,0.0660884947619177,-2.46384397301898,0.0137672192016127,NA,7741
"high.educBachelor",0.316524203363612,0.0471791356716095,6.70898690401577,2.09809990218171e-11,NA,7741
"high.educPost Graduate Degree",0.470564924528096,0.0481285335976354,9.77725455884689,1.90200724843054e-22,NA,7741
"high.educSome College",0.179334704288956,0.0433408213756928,4.13777816378749,3.5440722248167e-05,NA,7741
"marriedno",-0.0552665075105162,0.0281449659940261,-1.96363738802338,0.0496079712958388,NA,7741
"race.4levelAsian",0.00393532008568726,0.0711623652051208,0.0553005802202325,0.955900430026052,NA,7741
"race.4levelBlack",-0.284535223405127,0.0347893074794531,-8.17881251511477,3.32467213549136e-16,NA,7741
"race.4levelOther/Mixed",-0.0434301133451179,0.029373182371786,-1.47856343229715,0.139297803840843,NA,7741
"hispyes",-0.0723357124953012,0.0299641536573225,-2.41407494176377,0.015798318797989,NA,7741
"logK",NA,NA,NA,NA,1e-05,NA
"logM",NA,NA,NA,NA,0.01107,NA
