"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.00285736864501867,0.200834784139134,-0.0142274589397778,0.988648959534281,NA,6374
"scale(logK)",0.0396509973984723,0.0135148123360361,2.93389182273337,0.00335937263897756,NA,6374
"scale(logM)",0.0613726621065847,0.0136989103099756,4.48011270370116,7.59097202504525e-06,NA,6374
"age",-0.00255530517242988,0.00160664498418825,-1.59046036777125,0.111780789369815,NA,6374
"femaleyes",0.167218974613362,0.024227127759776,6.90213781309207,5.61898304048142e-12,NA,6374
"household.income[<50K]",-0.0124523485306597,0.0392025426028277,-0.317641349358842,0.750767435976369,NA,6374
"household.income[>=100K]",0.0402988138292061,0.031171432898058,1.292812363198,0.196122939600518,NA,6374
"high.educ< HS Diploma",0.0332377564621145,0.08139751288624,0.408338722935762,0.683038765128406,NA,6374
"high.educBachelor",0.209150172005604,0.0565258103208199,3.70008268468056,0.000217349582235352,NA,6374
"high.educPost Graduate Degree",0.339909316738839,0.0575787193230692,5.90338445757429,3.74483632548198e-09,NA,6374
"high.educSome College",0.103303812743645,0.0527356370350807,1.9588994947558,0.0501682041081361,NA,6374
"marriedno",-0.0782503622131177,0.0329839574935451,-2.3723763962657,0.0177036636135742,NA,6374
"race.4levelAsian",0.402827146240983,0.084013461256523,4.7947928845713,1.66549861409157e-06,NA,6374
"race.4levelBlack",0.0254706951910202,0.0417792606387449,0.609649256631397,0.542115960776098,NA,6374
"race.4levelOther/Mixed",0.0351016232819,0.0340502569377118,1.03087689899408,0.302637763269376,NA,6374
"hispyes",-0.0129767428443221,0.0351509019182476,-0.369172400597369,0.712011519714667,NA,6374
"logK",NA,NA,NA,NA,0.00134,NA
"logM",NA,NA,NA,NA,0.00311,NA
