"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",1.40051322760089,0.193490436461046,7.23815219613111,5.05406904238808e-13,NA,6737
"scale(logK)",-0.00158037586135706,0.0129060936696371,-0.122451913166805,0.902544788143204,NA,6737
"scale(logM)",0.095920056190318,0.0130720766522766,7.33778256828173,2.42708918442782e-13,NA,6737
"age",-0.0123871511893686,0.00154736642201164,-8.00531213108835,1.39353236303714e-15,NA,6737
"femaleyes",-0.0260988274010404,0.0231655566844318,-1.12662206898658,0.259942527301525,NA,6737
"household.income[<50K]",-0.0645078141980037,0.037219086899605,-1.73319174573002,0.0831074586786327,NA,6737
"household.income[>=100K]",0.0515613257138629,0.0296896820168976,1.73667490559573,0.0824903878312268,NA,6737
"high.educ< HS Diploma",-0.233887703109268,0.0768422061726624,-3.0437400845016,0.00234560382629367,NA,6737
"high.educBachelor",0.198242058857341,0.054385189566757,3.64514788744096,0.000269256110202737,NA,6737
"high.educPost Graduate Degree",0.262027422334398,0.055241142407691,4.74333822426375,2.14564215540812e-06,NA,6737
"high.educSome College",0.0960311658391841,0.0507093315166467,1.89375728227968,0.0583001375441267,NA,6737
"marriedno",-0.0556380789461462,0.031524479752099,-1.76491664204043,0.077623184792714,NA,6737
"race.4levelAsian",0.0544547929984546,0.0793783640248629,0.686015561890369,0.492726958441782,NA,6737
"race.4levelBlack",-0.381433611323775,0.039879529065861,-9.56464683155706,1.54306605559582e-21,NA,6737
"race.4levelOther/Mixed",-0.0809363922265626,0.0323990223250195,-2.49811217803511,0.0125093740796554,NA,6737
"hispyes",-0.0633682294053623,0.0333075418476822,-1.90251894586367,0.0571460429497816,NA,6737
"logK",NA,NA,NA,NA,0,NA
"logM",NA,NA,NA,NA,0.00786,NA
