"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",1.84181937855449,0.355086082131041,5.18696584079234,2.36066490090125e-07,NA,1954
"scale(logK)",-0.000455854645026345,0.0234526802437105,-0.0194372088942199,0.984494328452278,NA,1954
"scale(logM)",0.0651814321026272,0.0234523721692107,2.77931083612088,0.00550001762418993,NA,1954
"age",-0.0177865840356972,0.00280910570078809,-6.33176032881467,3.00413840515008e-10,NA,1954
"femaleyes",-0.0440037338339209,0.0431654544690572,-1.01942014453861,0.308130786425958,NA,1954
"household.income[<50K]",-0.0872931016307671,0.0747440696116441,-1.16789334704847,0.242993445732339,NA,1954
"household.income[>=100K]",0.128607726255743,0.0541471195659265,2.37515360533919,0.0176384472480128,NA,1954
"high.educ< HS Diploma",0.150025134339398,0.174743781596797,0.858543479879391,0.390698602895394,NA,1954
"high.educBachelor",0.26881197273306,0.113107634577289,2.37660325704517,0.017569495449077,NA,1954
"high.educPost Graduate Degree",0.416142257273424,0.114471411209171,3.63533787936811,0.000284857270612268,NA,1954
"high.educSome College",0.149603650609851,0.107769952852599,1.38817589365071,0.165243039814875,NA,1954
"marriedno",-0.0676053283364866,0.0614443669409465,-1.10026893761411,0.271351608255493,NA,1954
"race.4levelAsian",0.35385777442343,0.145810194656992,2.42683836514899,0.0153216791521552,NA,1954
"race.4levelBlack",-0.225262182833169,0.0837880542806725,-2.68847611711555,0.00723936188234166,NA,1954
"race.4levelOther/Mixed",-0.114735787700109,0.0609550277010495,-1.8823022813282,0.059944694367407,NA,1954
"hispyes",-0.0216815804740688,0.0633485925749747,-0.342258282193216,0.732193640299462,NA,1954
"logK",NA,NA,NA,NA,0,NA
"logM",NA,NA,NA,NA,0.00396,NA
