"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.487541052001321,0.390896672077498,-1.24723766362652,0.212483793595106,NA,1700
"scale(logK)",0.0219234872767141,0.0257394847622939,0.851745381820156,0.394476532280069,NA,1700
"scale(logM)",-0.0254511640779959,0.0257453166017988,-0.988574522956833,0.323013372531015,NA,1700
"age",0.00623766125465794,0.00306988260169404,2.03188918404106,0.0423215756436175,NA,1700
"femaleyes",0.0604509226113542,0.0472990281762818,1.27805844944754,0.201404953576697,NA,1700
"household.income[<50K]",0.11385772994448,0.0837978123530923,1.35871959836764,0.174417419457402,NA,1700
"household.income[>=100K]",-0.014496574476486,0.0585769225727917,-0.247479277499967,0.804567495885826,NA,1700
"high.educ< HS Diploma",-0.43840345797491,0.212412286586447,-2.06392702145546,0.0391775205220943,NA,1700
"high.educBachelor",-0.302166584173094,0.13135330621871,-2.3004109517424,0.0215466736168066,NA,1700
"high.educPost Graduate Degree",-0.471393378779827,0.132954832820075,-3.54551518573044,0.000402559455968266,NA,1700
"high.educSome College",-0.323427157704593,0.126234689623996,-2.56210997680556,0.0104901729012935,NA,1700
"marriedno",0.226952857211316,0.0674409519256963,3.36520838942729,0.000782044478315841,NA,1700
"race.4levelAsian",-0.0489998572609374,0.166247889842866,-0.294739724559819,0.768229043890173,NA,1700
"race.4levelBlack",0.221459125956998,0.0920385329959034,2.40615662536533,0.0162285058508394,NA,1700
"race.4levelOther/Mixed",-0.00210935424198896,0.0690172777592722,-0.0305626983629556,0.975621912233658,NA,1700
"hispyes",0.0531328197172805,0.0718368540516323,0.739631772837542,0.459626547187612,NA,1700
"logK",NA,NA,NA,NA,0.00043,NA
"logM",NA,NA,NA,NA,0.00058,NA
