"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.219470092710184,0.383480501877005,-0.572310956191914,0.567186868737995,NA,1719
"scale(logK)",0.0233411136623335,0.0254329971112936,0.917749235774057,0.358880117499419,NA,1719
"scale(logM)",-0.000413510075628575,0.0253457867068701,-0.0163147461316121,0.986985204443671,NA,1719
"age",0.00447588936291442,0.00302545472794065,1.47941045740289,0.139215594123703,NA,1719
"femaleyes",0.0414531492740981,0.0467730369202045,0.886261658502479,0.375601674041121,NA,1719
"household.income[<50K]",0.163708369025223,0.0825825536762468,1.98236021698988,0.0475994290730448,NA,1719
"household.income[>=100K]",0.0558264593910632,0.0577886113632098,0.966046043920069,0.334158304464246,NA,1719
"high.educ< HS Diploma",-0.133711107609315,0.207342518371583,-0.644880310413172,0.519091611770438,NA,1719
"high.educBachelor",-0.515525993893635,0.126183037540416,-4.08554116260289,4.60172586480373e-05,NA,1719
"high.educPost Graduate Degree",-0.55612249684396,0.127423544043264,-4.36436218298198,1.35151537154811e-05,NA,1719
"high.educSome College",-0.395637204943603,0.121355684154971,-3.26014564293811,0.00113552773858603,NA,1719
"marriedno",0.257959182140949,0.0658913379999224,3.91491795387814,9.39999031518298e-05,NA,1719
"race.4levelAsian",-0.0825803262013736,0.164786211203405,-0.501136142389002,0.616340078986496,NA,1719
"race.4levelBlack",0.363008873747418,0.090401118785486,4.01553519054124,6.1888799152686e-05,NA,1719
"race.4levelOther/Mixed",0.082981117066303,0.0675517117325201,1.2284087988011,0.219463279341422,NA,1719
"hispyes",-0.0897671191768322,0.0707367610279102,-1.26903066909458,0.204603538492041,NA,1719
"logK",NA,NA,NA,NA,0.00049,NA
"logM",NA,NA,NA,NA,0,NA
