"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.232333355638068,0.389791353708936,-0.596045431555559,0.551224133579557,NA,1718
"scale(logK)",0.0522009614339266,0.025883391440946,2.01677440736563,0.0438758342921833,NA,1718
"scale(logM)",-0.0483402868251876,0.0257502683579107,-1.87727312792595,0.0606515844449046,NA,1718
"age",0.00212517020884714,0.00306401577329582,0.693589839637539,0.48803411013888,NA,1718
"femaleyes",0.0358825822464779,0.0472884507859696,0.758802237123069,0.448075933708373,NA,1718
"household.income[<50K]",0.249182169686732,0.0842413705148736,2.95795484052265,0.00313958373987483,NA,1718
"household.income[>=100K]",0.00964843064545349,0.0590015554375348,0.163528411647865,0.870121819885913,NA,1718
"high.educ< HS Diploma",-0.0909887879352663,0.210147762818723,-0.432975287078144,0.665087584049748,NA,1718
"high.educBachelor",-0.118687397110822,0.129710132174779,-0.915020246459202,0.360310615767635,NA,1718
"high.educPost Graduate Degree",-0.132635602850306,0.131110815529115,-1.01162976002428,0.311858901866758,NA,1718
"high.educSome College",-0.111646322061288,0.123703418466174,-0.902532229469614,0.366901916105657,NA,1718
"marriedno",0.0925142278034961,0.066957283298857,1.38169028439473,0.16724815038,NA,1718
"race.4levelAsian",-0.0425617181514218,0.168419944741028,-0.252711863888016,0.800521395568151,NA,1718
"race.4levelBlack",-0.0295687495553005,0.0915038180000493,-0.323142249160407,0.746627210287094,NA,1718
"race.4levelOther/Mixed",0.0440001535374275,0.0688471674765685,0.639098965871074,0.522844551089793,NA,1718
"hispyes",0.0286297727857436,0.0718845385463699,0.398274418458925,0.690477868482672,NA,1718
"logK",NA,NA,NA,NA,0.00234,NA
"logM",NA,NA,NA,NA,0.00206,NA
