"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.465473188628792,0.387672862164758,-1.20068551105073,0.230043902386715,NA,1682
"scale(logK)",0.0329040208097045,0.0256248113619016,1.28406880132688,0.199296424772271,NA,1682
"scale(logM)",-0.0300151579709058,0.02532036844152,-1.18541552980277,0.236022246813331,NA,1682
"age",0.0059303767879891,0.00304548176871766,1.947270493918,0.0516701311405656,NA,1682
"femaleyes",0.0591859700582742,0.0470583516405611,1.25771447564389,0.208671295434076,NA,1682
"household.income[<50K]",0.191962836014907,0.0830476260217246,2.31147890927901,0.0209279154398834,NA,1682
"household.income[>=100K]",0.0148600109029897,0.0582971900397775,0.254900980524968,0.798831039929589,NA,1682
"high.educ< HS Diploma",-0.26368324976015,0.211598155161252,-1.24615098633164,0.212884168545856,NA,1682
"high.educBachelor",-0.377625335288991,0.12901762775215,-2.92692821801399,0.00346968876100947,NA,1682
"high.educPost Graduate Degree",-0.466171546471836,0.130729823047562,-3.56591583775214,0.000372828465208068,NA,1682
"high.educSome College",-0.335873541185062,0.124185110737358,-2.70462005622728,0.00690787595655896,NA,1682
"marriedno",0.244495438445368,0.0672183930228633,3.63732941908039,0.000283866556500559,NA,1682
"race.4levelAsian",-0.0675358502969335,0.164757104744209,-0.409911611409932,0.681923488998295,NA,1682
"race.4levelBlack",0.221600833039703,0.091562075528918,2.42022509603024,0.0156172702180265,NA,1682
"race.4levelOther/Mixed",0.0414197829070159,0.0679506185785159,0.609557113290381,0.542238348462245,NA,1682
"hispyes",0.0143250148398486,0.0711048115705064,0.201463368279152,0.840360864246442,NA,1682
"logK",NA,NA,NA,NA,0.00097,NA
"logM",NA,NA,NA,NA,0.00083,NA
