"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.279706216366885,0.348731388711268,-0.80206779607805,0.422605190689135,NA,2100
"scale(logK)",0.0543384834846584,0.0231587979928355,2.34634299679408,0.0190518741250091,NA,2100
"scale(logM)",-0.0455566515867075,0.0230366878233254,-1.97756951589976,0.0481088551370261,NA,2100
"age",0.00216141462916815,0.00276887120686222,0.78061219453307,0.435119273083455,NA,2100
"femaleyes",0.0299290184255001,0.0425839224661748,0.702824368733842,0.482243708203391,NA,2100
"household.income[<50K]",0.10245612303471,0.0728436873529864,1.40652027317382,0.15971878446826,NA,2100
"household.income[>=100K]",-0.135285800531265,0.0536135015432192,-2.52335319718314,0.0116979762819055,NA,2100
"high.educ< HS Diploma",-0.20206044874428,0.170717059741053,-1.18359845847139,0.23670704134984,NA,2100
"high.educBachelor",0.0294823303643887,0.108646337374353,0.271360554592872,0.786140613316361,NA,2100
"high.educPost Graduate Degree",-0.0611932853877896,0.109884190799944,-0.556888893136582,0.577663141704467,NA,2100
"high.educSome College",0.141566674549601,0.103141393382075,1.37254956431686,0.170040111925433,NA,2100
"marriedno",0.113835748241458,0.0604460553766179,1.88326181968679,0.0598040451477131,NA,2100
"race.4levelAsian",-0.0556288100064368,0.137525734084142,-0.404497459162092,0.685888455634387,NA,2100
"race.4levelBlack",0.0654880197231192,0.0800997393323011,0.817580934332834,0.413689978542759,NA,2100
"race.4levelOther/Mixed",0.0304599925458964,0.0601530746427755,0.506374657102497,0.612647226295081,NA,2100
"hispyes",0.06083979149146,0.061812760697356,0.984259411892962,0.325102234071942,NA,2100
"logK",NA,NA,NA,NA,0.00261,NA
"logM",NA,NA,NA,NA,0.00188,NA
