"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.52909517111208,0.349817096882625,-1.51249088688655,0.13056065241231,NA,2100
"scale(logK)",0.0386872493232944,0.0232816800486191,1.66170350432202,0.0967226400033007,NA,2100
"scale(logM)",0.0091819864332579,0.0231538517549951,0.396564102181272,0.691729530909689,NA,2100
"age",0.00471289809040504,0.00278034115727897,1.69507906541131,0.0902098110678566,NA,2100
"femaleyes",0.0312061487849799,0.0427758191536077,0.729527789354982,0.465760860273258,NA,2100
"household.income[<50K]",0.179586513895233,0.0732077519308454,2.45310789033485,0.0142441834184738,NA,2100
"household.income[>=100K]",-0.0825043537521441,0.0538883071695224,-1.53102515342709,0.125914949941859,NA,2100
"high.educ< HS Diploma",-0.231288106237485,0.171286554837997,-1.35029924827572,0.177066632787142,NA,2100
"high.educBachelor",-0.0789056856515631,0.109115865751128,-0.723136686937271,0.469677061944533,NA,2100
"high.educPost Graduate Degree",-0.145026724505976,0.110332019358638,-1.31445726588727,0.188837013963495,NA,2100
"high.educSome College",-0.0178611494214799,0.10350481422606,-0.172563465332832,0.863011327895973,NA,2100
"marriedno",0.134827336298977,0.0608749655796647,2.21482402519856,0.0268799414518162,NA,2100
"race.4levelAsian",-0.0859395288559597,0.138399811121817,-0.620951200434208,0.534699637702172,NA,2100
"race.4levelBlack",0.04432506962948,0.0806534197500072,0.549574584275158,0.582670081044043,NA,2100
"race.4levelOther/Mixed",0.0244003214573814,0.0603711205156494,0.404172081766419,0.686127654454232,NA,2100
"hispyes",0.0462366880210778,0.0621340313954718,0.744144343810394,0.456873049237761,NA,2100
"logK",NA,NA,NA,NA,0.0013,NA
"logM",NA,NA,NA,NA,7e-05,NA
