"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.722841070206401,0.351222667665138,-2.05807066785214,0.039707453252699,NA,2100
"scale(logK)",0.0472908384760772,0.0233377880392751,2.02636335527992,0.0428546986771785,NA,2100
"scale(logM)",-0.0677065391867639,0.0232975004039258,-2.90617182156395,0.00369741595150953,NA,2100
"age",0.00577482853925928,0.00279902572846472,2.06315664787648,0.0392213538719034,NA,2100
"femaleyes",0.0497824466209715,0.0430433315279995,1.15656583386414,0.247582347025456,NA,2100
"household.income[<50K]",0.131115588888878,0.0736169967930477,1.78105049921379,0.0750498173975608,NA,2100
"household.income[>=100K]",-0.107723685107277,0.0542241012245879,-1.98663846286916,0.0470932401587456,NA,2100
"high.educ< HS Diploma",-0.00569185398204312,0.172499104284313,-0.0329964263041147,0.973680597285481,NA,2100
"high.educBachelor",-0.00278487996032009,0.109673016890831,-0.0253925718400923,0.979744267112444,NA,2100
"high.educPost Graduate Degree",-0.0520254869790324,0.110971663777417,-0.468817761292497,0.639248939098638,NA,2100
"high.educSome College",0.162742519656996,0.104255899339018,1.56099099128954,0.118677710302588,NA,2100
"marriedno",0.152046191343624,0.0610190194104765,2.49178359161765,0.0127875424575624,NA,2100
"race.4levelAsian",0.145660111716363,0.138710857227371,1.05009885042813,0.293794422495716,NA,2100
"race.4levelBlack",-0.115002763506885,0.0808562828512533,-1.4223107896074,0.155085699100447,NA,2100
"race.4levelOther/Mixed",0.0946343297645316,0.060909410633556,1.55368979571764,0.120410268329072,NA,2100
"hispyes",-0.0844753678001854,0.0625289759321726,-1.3509795505338,0.176848637379313,NA,2100
"logK",NA,NA,NA,NA,0.00195,NA
"logM",NA,NA,NA,NA,0.00406,NA
