"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.637227302793087,0.346206074808496,-1.84060115971555,0.0658221192300553,NA,2100
"scale(logK)",0.0605760969649087,0.023018884548163,2.63158263981749,0.00856149512937851,NA,2100
"scale(logM)",-0.0440675057418267,0.022901653991653,-1.92420624981445,0.0544647647573481,NA,2100
"age",0.00527312097240569,0.00275156926507478,1.9164049545605,0.0554502154876562,NA,2100
"femaleyes",0.0421286235218794,0.0423228895380116,0.995409906595395,0.319652503173507,NA,2100
"household.income[<50K]",0.143783807172744,0.0724103533843424,1.98568023014006,0.0471996910638407,NA,2100
"household.income[>=100K]",-0.134175298327833,0.0533006285098222,-2.51733050958504,0.0118992433983052,NA,2100
"high.educ< HS Diploma",-0.167468729781524,0.169595558661947,-0.987459406972666,0.323532103612772,NA,2100
"high.educBachelor",-0.0142583998651541,0.107967178047782,-0.132062355643341,0.894947719343722,NA,2100
"high.educPost Graduate Degree",-0.0975828333961006,0.109187425043611,-0.893718606855366,0.371575662486936,NA,2100
"high.educSome College",0.122401446145102,0.102469715727568,1.19451337671831,0.232413143763067,NA,2100
"marriedno",0.148958734638703,0.0601343672985667,2.47709822736014,0.0133243292581511,NA,2100
"race.4levelAsian",0.00848369924868194,0.136762519118623,0.0620323411952035,0.950543025527672,NA,2100
"race.4levelBlack",0.0221233365617268,0.0796780173869632,0.277659225056804,0.781301504898658,NA,2100
"race.4levelOther/Mixed",0.0640495072975973,0.0597696053999519,1.07160666142944,0.28402082172541,NA,2100
"hispyes",0.0101869257995519,0.061453379908108,0.165766729426185,0.86835660889702,NA,2100
"logK",NA,NA,NA,NA,0.00328,NA
"logM",NA,NA,NA,NA,0.00178,NA
