"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.290962900666149,0.357901227665573,-0.812969831268722,0.41632971261679,NA,2067
"scale(logK)",0.00419268663098474,0.0237355255302923,0.176641828538148,0.859807176368658,NA,2067
"scale(logM)",0.0130509071658222,0.0236695442560536,0.551379740338024,0.581433447656888,NA,2067
"age",0.00198143480623311,0.00284560190603874,0.696314829571994,0.486310588482254,NA,2067
"femaleyes",0.0794420962925803,0.0438263261642669,1.81265698600473,0.0700308902113878,NA,2067
"household.income[<50K]",-0.125564315886188,0.0745406794470339,-1.68450726258016,0.0922358236299008,NA,2067
"household.income[>=100K]",-0.0247326206415816,0.054998846248615,-0.449693445018484,0.652979018076601,NA,2067
"high.educ< HS Diploma",0.0325546898726332,0.178075826979026,0.182813638576939,0.854962315159945,NA,2067
"high.educBachelor",0.0491523479488924,0.112064976591442,0.438605793209492,0.660993393807366,NA,2067
"high.educPost Graduate Degree",0.200743602051068,0.113381257315296,1.7705183978762,0.0767893385475062,NA,2067
"high.educSome College",-0.00127323640150076,0.106794796764378,-0.0119222699988831,0.990488789706213,NA,2067
"marriedno",-0.0804872535966202,0.0615615963294998,-1.30742635661726,0.191214492103085,NA,2067
"race.4levelAsian",0.273374885300573,0.139865178261348,1.95456001771758,0.0507707143656283,NA,2067
"race.4levelBlack",-0.213939175559512,0.081882683216439,-2.61275238128201,0.00904723349020286,NA,2067
"race.4levelOther/Mixed",-0.0386879032007537,0.0620178112951581,-0.623819228586259,0.53281568184562,NA,2067
"hispyes",-0.0424284635929255,0.0634474313205188,-0.668718381656598,0.503750394996149,NA,2067
"logK",NA,NA,NA,NA,2e-05,NA
"logM",NA,NA,NA,NA,0.00015,NA
