"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.863703296133449,0.353014660962105,-2.44664993170401,0.0145011864048253,NA,2100
"scale(logK)",0.0147725733785322,0.0234918991873167,0.628836913556481,0.52952474770005,NA,2100
"scale(logM)",-0.0397554016250847,0.023386641924033,-1.69991919978176,0.0892953445090507,NA,2100
"age",0.00542603922363352,0.00280911450637753,1.93158349768754,0.0535463714553394,NA,2100
"femaleyes",0.0661701952013817,0.0432093400902559,1.53138638690536,0.125825702354913,NA,2100
"household.income[<50K]",0.206892776709553,0.0739325065856351,2.79840068008395,0.00518288217902132,NA,2100
"household.income[>=100K]",-0.158332963669057,0.0544306593780341,-2.90889299299861,0.00366551734731814,NA,2100
"high.educ< HS Diploma",-0.0191054447425605,0.173097495532898,-0.110373894687167,0.912123483253848,NA,2100
"high.educBachelor",0.323346310630998,0.110204681581624,2.93405240131753,0.00338223521457272,NA,2100
"high.educPost Graduate Degree",0.230799026060149,0.111449083669535,2.07089209225359,0.0384917271720028,NA,2100
"high.educSome College",0.244459600565818,0.104592860598786,2.33724939891983,0.0195204568767366,NA,2100
"marriedno",0.0649606300758581,0.0614178521012115,1.05768319557656,0.290322482168596,NA,2100
"race.4levelAsian",-0.182727876470096,0.139634793441706,-1.30861278887758,0.190809839869902,NA,2100
"race.4levelBlack",-0.194289823440213,0.0813729123028301,-2.38764741167382,0.0170452228847089,NA,2100
"race.4levelOther/Mixed",0.1014286930129,0.0610270475567869,1.66202851151399,0.0966574511356365,NA,2100
"hispyes",-0.145863981915234,0.0627578981513604,-2.32423306407485,0.020208695233179,NA,2100
"logK",NA,NA,NA,NA,0.00018,NA
"logM",NA,NA,NA,NA,0.00139,NA
