"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.536221360064932,0.352441981643249,-1.52144576410795,0.12829971866429,NA,2100
"scale(logK)",-0.0116189933819362,0.0234558182667216,-0.495356557158396,0.62040068053575,NA,2100
"scale(logM)",-0.027188903261016,0.0233506808968076,-1.16437303824974,0.24440614444217,NA,2100
"age",0.00406922022516383,0.00280467652615866,1.45086971250018,0.146966640614454,NA,2100
"femaleyes",0.091879763686406,0.0431417465429396,2.12971822072518,0.0333117623796291,NA,2100
"household.income[<50K]",0.201078700904841,0.0738184075962621,2.72396421776812,0.00650418760725829,NA,2100
"household.income[>=100K]",-0.107202624341138,0.0543470690919938,-1.97255576302881,0.0486781984508753,NA,2100
"high.educ< HS Diploma",0.065964242895947,0.172817664564798,0.381698497442741,0.702723928644974,NA,2100
"high.educBachelor",0.0557195770032816,0.110031039580624,0.506398714541399,0.612630343997798,NA,2100
"high.educPost Graduate Degree",-0.00591279894994491,0.111272400671806,-0.0531380550275402,0.957627003738444,NA,2100
"high.educSome College",0.124338015998161,0.104424723895516,1.19069518558239,0.233908874211163,NA,2100
"marriedno",0.0956695911278338,0.0613285732406161,1.55995135827609,0.118923211921819,NA,2100
"race.4levelAsian",-0.32296714308214,0.139426934798788,-2.3163898966023,0.0206335538329829,NA,2100
"race.4levelBlack",-0.152632831301114,0.0812540403949674,-1.87846451153915,0.0604571448494306,NA,2100
"race.4levelOther/Mixed",-0.018278288060304,0.0609294808275458,-0.299990871611704,0.764214037381335,NA,2100
"hispyes",-0.105893313655931,0.0626617697427665,-1.68991897437041,0.0911930188281367,NA,2100
"logK",NA,NA,NA,NA,0.00012,NA
"logM",NA,NA,NA,NA,0.00065,NA
