"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-1.22309395202168,0.344251048422354,-3.55291278741756,0.000389459952674033,NA,2100
"scale(logK)",0.0194810010096272,0.0230975305962823,0.843423539517373,0.399088406690214,NA,2100
"scale(logM)",-0.0445334626840537,0.0229320953258599,-1.94197093860126,0.0522752084019778,NA,2100
"age",0.00798285945769031,0.00274319901717567,2.91005479650152,0.00365197468637385,NA,2100
"femaleyes",0.0766881057562642,0.0422743324424854,1.81405834995973,0.069812492421239,NA,2100
"household.income[<50K]",0.236637687723785,0.0724894902458987,3.26444132688839,0.00111455929853201,NA,2100
"household.income[>=100K]",-0.162369617648663,0.0533644405041262,-3.04265567323072,0.00237427703840771,NA,2100
"high.educ< HS Diploma",0.0163915920436282,0.168178397993199,0.0974655023428815,0.922366101295911,NA,2100
"high.educBachelor",0.302550091874775,0.107698460827964,2.80923320118813,0.00501229473304916,NA,2100
"high.educPost Graduate Degree",0.33900419998575,0.108818381825314,3.11532109097114,0.00186246634782419,NA,2100
"high.educSome College",0.337657575080684,0.10183426809844,3.31575589814504,0.000929638056527648,NA,2100
"marriedno",0.0448577461572881,0.0607460668707472,0.738446922872133,0.46032605976883,NA,2100
"race.4levelAsian",-0.306906833682586,0.137993243558902,-2.22407145282865,0.0262504230865997,NA,2100
"race.4levelBlack",-0.312666480837645,0.0805014434845768,-3.88398601694078,0.000105961122754866,NA,2100
"race.4levelOther/Mixed",0.0174878443449685,0.0594399734671175,0.29421016405135,0.768626614524209,NA,2100
"hispyes",-0.0657227906003863,0.0615660877394506,-1.06751611176801,0.285862486445922,NA,2100
"logK",NA,NA,NA,NA,0.00033,NA
"logM",NA,NA,NA,NA,0.00178,NA
