"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-1.00054540243445,0.337163361880741,-2.96753893084135,0.00303613365046085,NA,2100
"scale(logK)",0.0133102991496654,0.0227157942860515,0.585949097005095,0.557973173271062,NA,2100
"scale(logM)",-0.0371917643255608,0.0225150825238641,-1.65186000478304,0.0987137436088934,NA,2100
"age",0.0070104749010286,0.0026875730007071,2.60847794615594,0.00915957623914904,NA,2100
"femaleyes",0.0948779049775418,0.041460261590224,2.28840584546416,0.022213578424698,NA,2100
"household.income[<50K]",0.24447239234194,0.0711714741974084,3.43497721662821,0.000604207030827366,NA,2100
"household.income[>=100K]",-0.176253619638846,0.05238317253565,-3.36469921746138,0.000780158267992077,NA,2100
"high.educ< HS Diploma",0.00489778710170853,0.164222589423131,0.0298240766931828,0.976210212605145,NA,2100
"high.educBachelor",0.224012790350282,0.105536193068495,2.12261579498982,0.0339036750998879,NA,2100
"high.educPost Graduate Degree",0.185501049130818,0.106592099530895,1.74028891397389,0.0819559067642779,NA,2100
"high.educSome College",0.270148445570419,0.0995936019856366,2.71250803449583,0.00673251229630593,NA,2100
"marriedno",0.0693541185131319,0.0599045033370887,1.15774465440218,0.247100923166506,NA,2100
"race.4levelAsian",-0.345253346306819,0.136129608491856,-2.53621052856752,0.0112783908278527,NA,2100
"race.4levelBlack",-0.261891308727531,0.0794215143158777,-3.29748571257316,0.000991943917251525,NA,2100
"race.4levelOther/Mixed",0.00718017887407163,0.058150989200503,0.123474750348865,0.901743074369478,NA,2100
"hispyes",-0.134192446604677,0.0604629302585421,-2.21941685642533,0.0265656726516654,NA,2100
"logK",NA,NA,NA,NA,0.00016,NA
"logM",NA,NA,NA,NA,0.00128,NA
