"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-1.3918939382607,0.325341961365635,-4.27824905345185,1.9707753375109e-05,NA,2056
"scale(logK)",-0.0702579492341977,0.0215720554565259,-3.25689637576671,0.00114484742774489,NA,2056
"scale(logM)",0.0309115888858266,0.0215103062632266,1.43705944990063,0.150854453102116,NA,2056
"age",0.00915545058150516,0.00257433310880892,3.5564358591267,0.000384490197645339,NA,2056
"femaleyes",-0.073757829843768,0.0396152839972736,-1.86185286085149,0.0627675350911362,NA,2056
"household.income[<50K]",-0.125691806702065,0.0671650407604538,-1.87138733601531,0.0614344348964865,NA,2056
"household.income[>=100K]",0.0845552211991679,0.0504070663132704,1.67744777435912,0.0936081442860518,NA,2056
"high.educ< HS Diploma",-0.134416323246893,0.161101474490717,-0.834358119140855,0.404176900834438,NA,2056
"high.educBachelor",0.358772235461849,0.100791128030154,3.5595616645397,0.000379971038222637,NA,2056
"high.educPost Graduate Degree",0.631674495010388,0.101812693715929,6.20428035007938,6.63510090438835e-10,NA,2056
"high.educSome College",0.194281413803326,0.0957954889869397,2.02808520378046,0.0426812658417678,NA,2056
"marriedno",-0.0373816645348026,0.055749742526726,-0.670526227397052,0.502598293606508,NA,2056
"race.4levelAsian",0.038750986546804,0.127944183925328,0.302874154634652,0.762016648637215,NA,2056
"race.4levelBlack",-0.486053666852913,0.0750905380278298,-6.47290164138621,1.20071099745594e-10,NA,2056
"race.4levelOther/Mixed",-0.00084148448835903,0.0565346830555664,-0.0148843938424835,0.988125865921925,NA,2056
"hispyes",-0.195074381737296,0.0575447183841213,-3.38996153278811,0.000712334339407265,NA,2056
"logK",NA,NA,NA,NA,0.00504,NA
"logM",NA,NA,NA,NA,0.00099,NA
