"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.191322074578778,0.358350061518074,-0.533897144508034,0.593470640067941,NA,2064
"scale(logK)",-0.0289872944450928,0.0236980576813359,-1.22319283862334,0.221397594933789,NA,2064
"scale(logM)",0.00714721419179975,0.0235887999713399,0.302991852085885,0.761926843483247,NA,2064
"age",-0.00190002988739349,0.00284434762556904,-0.66800199466244,0.504207590383269,NA,2064
"femaleyes",-0.122269785307826,0.0438738513637424,-2.78684869249639,0.00537141844576414,NA,2064
"household.income[<50K]",-0.0694060477362226,0.0743532541426043,-0.933463485042722,0.350690752770648,NA,2064
"household.income[>=100K]",0.0871310928236559,0.0549184897986489,1.58655296500523,0.112768300914361,NA,2064
"high.educ< HS Diploma",0.0563929603796308,0.177592546142557,0.317541257246027,0.75086530957785,NA,2064
"high.educBachelor",0.410170554415987,0.111973387448883,3.66310749152993,0.000255500596289796,NA,2064
"high.educPost Graduate Degree",0.450363712811839,0.113225191972801,3.97759283923339,7.20361197721515e-05,NA,2064
"high.educSome College",0.359014015938249,0.106665336819156,3.36579836190771,0.000777318075266871,NA,2064
"marriedno",0.111267504438698,0.0612887672563093,1.81546324750468,0.0695989397262906,NA,2064
"race.4levelAsian",0.212640521766083,0.139757437414228,1.52149700009049,0.128289537247842,NA,2064
"race.4levelBlack",-0.0652032610354525,0.0820515785771374,-0.794661872033996,0.426902292875785,NA,2064
"race.4levelOther/Mixed",0.117392573630686,0.0620565136690651,1.89170429806478,0.0586713554406238,NA,2064
"hispyes",0.01681680157321,0.0631883410196174,0.266137728920421,0.790159928708457,NA,2064
"logK",NA,NA,NA,NA,0.00073,NA
"logM",NA,NA,NA,NA,4e-05,NA
