"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-1.12847677682423,0.346025904187637,-3.26124941273847,0.00112755970978144,NA,2050
"scale(logK)",-0.0155345613552387,0.0229639412547585,-0.676476271337771,0.498815222333063,NA,2050
"scale(logM)",0.014191205144171,0.0228598830848826,0.620790801574823,0.534806830197504,NA,2050
"age",0.00741584531935047,0.00274324799198747,2.70330839246427,0.00692242842173912,NA,2050
"femaleyes",0.0688088242345998,0.0422459749776336,1.62876639185223,0.103517340200384,NA,2050
"household.income[<50K]",-0.196676710804677,0.0721714264711841,-2.72513265181483,0.00648262000152162,NA,2050
"household.income[>=100K]",0.0969122175468942,0.053268647927609,1.81931063237415,0.069011010561814,NA,2050
"high.educ< HS Diploma",0.246759067670361,0.171054120402065,1.44257891648766,0.149293092605361,NA,2050
"high.educBachelor",0.225533993416523,0.108832900147904,2.07229608978555,0.0383635613945658,NA,2050
"high.educPost Graduate Degree",0.361947514899639,0.110173233126024,3.28525817596381,0.00103619775952553,NA,2050
"high.educSome College",0.153901965396329,0.103463517903312,1.4874998310047,0.137037848737883,NA,2050
"marriedno",-0.0429492443183722,0.0592154203241659,-0.725305065526058,0.468348333745706,NA,2050
"race.4levelAsian",0.161475984766234,0.134702061489369,1.19876402024462,0.230759359464406,NA,2050
"race.4levelBlack",-0.397325031362629,0.0795335411374802,-4.99569144891738,6.36313257607208e-07,NA,2050
"race.4levelOther/Mixed",0.00278029938243379,0.0598081317180246,0.0464869793215072,0.962926675404607,NA,2050
"hispyes",-0.089588235540046,0.0614747461363204,-1.45731769825261,0.14518306705276,NA,2050
"logK",NA,NA,NA,NA,0.00023,NA
"logM",NA,NA,NA,NA,0.00019,NA
