"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-1.25102823923249,0.342667889609668,-3.650847590819,0.000267938800632546,NA,2061
"scale(logK)",-0.0275377067127992,0.0227554260938239,-1.21016001191352,0.226357357755118,NA,2061
"scale(logM)",0.0389455705100418,0.0226209142763222,1.72166208820335,0.0852819754259843,NA,2061
"age",0.00805369850976962,0.00272079278476441,2.96005581713824,0.00311120762185287,NA,2061
"femaleyes",-0.0869909767376538,0.0420485209330982,-2.06882370193382,0.0386880306103858,NA,2061
"household.income[<50K]",-0.140656841397196,0.0709782974828665,-1.98168801429972,0.0476478745191929,NA,2061
"household.income[>=100K]",0.116789818983622,0.0524826182305639,2.22530473747608,0.0261694736063782,NA,2061
"high.educ< HS Diploma",0.16978621802033,0.169946431317822,0.99905727177529,0.317885145224487,NA,2061
"high.educBachelor",0.338735003713353,0.10703297445761,3.16477240242921,0.00157487041735874,NA,2061
"high.educPost Graduate Degree",0.501608033381981,0.108221861812101,4.63499726379584,3.79456494877421e-06,NA,2061
"high.educSome College",0.213868116001321,0.10204691744175,2.09578222804624,0.0362241685163986,NA,2061
"marriedno",-0.0938920584734625,0.0588054000766108,-1.59665708168198,0.110496670642227,NA,2061
"race.4levelAsian",-0.256070014016057,0.134562077695596,-1.90298796214586,0.0571824233412703,NA,2061
"race.4levelBlack",-0.218638768607907,0.0785830054164857,-2.7822652932289,0.00544765154559183,NA,2061
"race.4levelOther/Mixed",-0.022903370686369,0.0594226614121089,-0.385431586908052,0.699957770403008,NA,2061
"hispyes",-0.0788203926167887,0.0606975008655771,-1.29857723123308,0.194235468343172,NA,2061
"logK",NA,NA,NA,NA,0.00071,NA
"logM",NA,NA,NA,NA,0.00143,NA
