"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",0.132666110681663,0.387398301393521,0.342454032979614,0.732051244386942,NA,1729
"scale(logK)",0.0372683604864574,0.0258367746875301,1.44245405772125,0.14935713353514,NA,1729
"scale(logM)",0.0427169097363294,0.0258388437190568,1.65320515889899,0.098472353992643,NA,1729
"age",-0.00301051516641943,0.00306023241872478,-0.983753765890089,0.32537551927236,NA,1729
"femaleyes",0.203588090938377,0.0471791932545924,4.31520924573164,1.68559215262338e-05,NA,1729
"household.income[<50K]",-0.0161867052969135,0.0828937982739472,-0.195270401814859,0.845204424826619,NA,1729
"household.income[>=100K]",0.0810259294299437,0.0589634665472588,1.37417174014018,0.169568135005894,NA,1729
"high.educ< HS Diploma",0.116745643843985,0.204639025194628,0.570495504134416,0.568416492234035,NA,1729
"high.educBachelor",0.0116612934007896,0.124340875597731,0.0937848744005665,0.925291014934011,NA,1729
"high.educPost Graduate Degree",0.178067353885496,0.125911492099853,1.41422638168947,0.157477165622244,NA,1729
"high.educSome College",-0.0700155998587593,0.120540744515119,-0.580845921770273,0.561420709423537,NA,1729
"marriedno",-0.0757256306505486,0.067785953466719,-1.11712864948824,0.264095981546343,NA,1729
"race.4levelAsian",0.543341022870816,0.157044348008413,3.4597935536127,0.000553837488995286,NA,1729
"race.4levelBlack",-0.0393269873819577,0.0925581819726583,-0.424889367355713,0.670970688677374,NA,1729
"race.4levelOther/Mixed",-0.0316407940731928,0.0678186149611422,-0.466550284038119,0.640880989759321,NA,1729
"hispyes",0.101258448206436,0.070670209011138,1.43283074471277,0.152088679115352,NA,1729
"logK",NA,NA,NA,NA,0.00119,NA
"logM",NA,NA,NA,NA,0.00159,NA
