"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",2.83617036718823,0.360414638917604,7.86918748834902,6.0119629391115e-15,NA,1873
"scale(logK)",-0.00830751048163657,0.0237150225210005,-0.350305822998058,0.726148924478255,NA,1873
"scale(logM)",0.0775592574302017,0.0235610236628769,3.29184582724244,0.00101398857855374,NA,1873
"age",-0.0249296980992225,0.00283927169414924,-8.78031438505656,3.62398845427161e-18,NA,1873
"femaleyes",-0.248802094586006,0.0434728640068872,-5.72315857879963,1.21652531403195e-08,NA,1873
"household.income[<50K]",-0.158975873541183,0.0753245508206428,-2.11054525794285,0.0349448089550755,NA,1873
"household.income[>=100K]",0.0864656090971814,0.0540719355181408,1.59908477972224,0.109971880035792,NA,1873
"high.educ< HS Diploma",0.0241082571637912,0.183504785177562,0.131376722086368,0.895491533309932,NA,1873
"high.educBachelor",0.305378275635828,0.116645475213041,2.6180036137543,0.00891645792816641,NA,1873
"high.educPost Graduate Degree",0.407752959718752,0.117835208825937,3.46036608057507,0.000551636419030929,NA,1873
"high.educSome College",0.104542744153915,0.112222763824935,0.93156451143014,0.351682722764138,NA,1873
"marriedno",0.0172506291227958,0.0619135465975115,0.278624470262364,0.78056405349393,NA,1873
"race.4levelAsian",0.0585732331624244,0.146670713584677,0.399351934212882,0.68967982746837,NA,1873
"race.4levelBlack",-0.285657340300061,0.0857703562549059,-3.33049030892561,0.000883914257425429,NA,1873
"race.4levelOther/Mixed",-0.117844047325006,0.0613898413887175,-1.91960175591305,0.0550612910683064,NA,1873
"hispyes",-0.117355554123663,0.0643603481340093,-1.8234139113,0.0684014092779539,NA,1873
"logK",NA,NA,NA,NA,7e-05,NA
"logM",NA,NA,NA,NA,0.00576,NA
