"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-1.54261139694641,0.324443760444677,-4.75463419247802,2.12743120923451e-06,NA,2051
"scale(logK)",-0.0521272024504908,0.0215138560692482,-2.42295952351383,0.0154813943996333,NA,2051
"scale(logM)",0.0268706506804692,0.0213688489993775,1.25746832135189,0.208728388657766,NA,2051
"age",0.0102389567906844,0.0025704876927588,3.98327399875443,7.03631771817157e-05,NA,2051
"femaleyes",-0.00775692702661027,0.039754178028257,-0.195122309436173,0.845316676334724,NA,2051
"household.income[<50K]",-0.193448773224394,0.0676678520655109,-2.85879878434906,0.00429577571330489,NA,2051
"household.income[>=100K]",0.102118959002406,0.0498854241275671,2.04707007684784,0.0407793870611403,NA,2051
"high.educ< HS Diploma",0.0565912656066222,0.159121580933228,0.355647959721877,0.722141083058668,NA,2051
"high.educBachelor",0.35509764894289,0.102124808833442,3.47709487047391,0.000517519491726701,NA,2051
"high.educPost Graduate Degree",0.611998602447157,0.103517996886346,5.91200197893201,3.95347706671667e-09,NA,2051
"high.educSome College",0.205054446908867,0.0968733093802183,2.11672800506947,0.0344040084231584,NA,2051
"marriedno",-0.0510293260482814,0.0556159511802117,-0.917530402077127,0.358973495733395,NA,2051
"race.4levelAsian",0.103628136633895,0.1271382506858,0.815082290930634,0.415120587153141,NA,2051
"race.4levelBlack",-0.547490911194138,0.0743350251422808,-7.36518095132428,2.5566594897115e-13,NA,2051
"race.4levelOther/Mixed",-0.00407434470568249,0.0561035766430486,-0.0726218353529394,0.942114187162669,NA,2051
"hispyes",-0.185028061575362,0.0574986043364407,-3.21795743932688,0.00131136772507989,NA,2051
"logK",NA,NA,NA,NA,0.00284,NA
"logM",NA,NA,NA,NA,0.00077,NA
