"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",1.60873700676997,0.377212926291905,4.26479819391197,2.10277068400876e-05,NA,1848
"scale(logK)",-0.023588485005811,0.0248688227250515,-0.948516351843597,0.342991753079137,NA,1848
"scale(logM)",0.0459191010326772,0.0247542881195172,1.85499582177331,0.0637573753216893,NA,1848
"age",-0.0160306587163741,0.00297486441347198,-5.38870230312939,8.01463574606711e-08,NA,1848
"femaleyes",-0.0414295430898298,0.0456536490007168,-0.907474955379345,0.364275036745379,NA,1848
"household.income[<50K]",-0.050324794286803,0.0791726196230448,-0.635633815407504,0.525094513035707,NA,1848
"household.income[>=100K]",0.149127459642895,0.0566991104712394,2.63015518944587,0.0086060634349685,NA,1848
"high.educ< HS Diploma",0.272056371191206,0.19126510372517,1.42240464095387,0.155079053834195,NA,1848
"high.educBachelor",0.303084390735057,0.121806608110735,2.48824259566871,0.0129258772197774,NA,1848
"high.educPost Graduate Degree",0.33752470095089,0.123063896700577,2.7426784784177,0.00615335400691551,NA,1848
"high.educSome College",0.282577164940044,0.117289300078251,2.40923225521442,0.0160842225209395,NA,1848
"marriedno",-0.0486848565614966,0.0651315885020959,-0.747484556743614,0.454867051270475,NA,1848
"race.4levelAsian",0.320269261432185,0.152922292541293,2.0943268382254,0.0363679635913177,NA,1848
"race.4levelBlack",-0.232206903300854,0.0896151494010874,-2.5911567949474,0.00964133445883416,NA,1848
"race.4levelOther/Mixed",-0.0778297052740314,0.0642849951104944,-1.21069784854547,0.226167394698833,NA,1848
"hispyes",-0.0520721578666804,0.0675097007897322,-0.77132852401266,0.440611701327918,NA,1848
"logK",NA,NA,NA,NA,5e-04,NA
"logM",NA,NA,NA,NA,0.00186,NA
