"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",1.6788866344923,0.178774341968785,9.39109391204155,7.81106695956101e-21,NA,7210
"scale(logK)",0.0241655189028562,0.01195425790945,2.02149887394959,0.0432651032993072,NA,7210
"scale(logM)",0.125644637358365,0.0121572736052552,10.3349354006521,7.30548384485687e-25,NA,7210
"age",-0.0156229060208013,0.00142928863126038,-10.9305466223604,1.35616410807706e-27,NA,7210
"femaleyes",-0.0343811767015951,0.0215578805106681,-1.59483102638876,0.110793954309388,NA,7210
"household.income[<50K]",-0.0632232265071664,0.0344805313019326,-1.8335920045299,0.0667558705176681,NA,7210
"household.income[>=100K]",0.0741384833869796,0.0277756654359171,2.66918837851172,0.007620548806853,NA,7210
"high.educ< HS Diploma",-0.152463194469362,0.0700792090366199,-2.17558383670815,0.0296188378310985,NA,7210
"high.educBachelor",0.290382268446581,0.0497165174234126,5.8407604453371,5.42274230900916e-09,NA,7210
"high.educPost Graduate Degree",0.431929411090745,0.0505379759196225,8.54663059275864,1.53129146808362e-17,NA,7210
"high.educSome College",0.13790705782337,0.0461504372739409,2.98820695901054,0.0028156709196737,NA,7210
"marriedno",-0.0704661768354142,0.0289952047385324,-2.43027002122769,0.015111866804284,NA,7210
"race.4levelAsian",0.173314161323911,0.0746973278724795,2.32021902603781,0.0203568668216493,NA,7210
"race.4levelBlack",-0.311703651706581,0.0366510017100858,-8.50464208788063,2.19297295961534e-17,NA,7210
"race.4levelOther/Mixed",-0.0656966597066867,0.0300913577454215,-2.18324012703224,0.0290503378578003,NA,7210
"hispyes",-0.107972682239632,0.0310417431622614,-3.47830602409269,0.000507579793472746,NA,7210
"logK",NA,NA,NA,NA,0.00056,NA
"logM",NA,NA,NA,NA,0.01444,NA
