"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.648985545820363,0.31084688263241,-2.08779814783543,0.039332143134446,NA,111
"scale(k)",-0.0781383184933453,0.106780559882989,-0.731765394178207,0.466006303915908,NA,111
"scale(m)",0.184406231503954,0.106210874798746,1.7362274047114,0.0855729569911754,NA,111
"sexfemale",0.0431114093624977,0.186328717180793,0.231372866269814,0.81749323253514,NA,111
"income<50k",0.136430484680851,0.293114313007456,0.465451459128783,0.642610269283225,NA,111
"income>100k",0.145003233988166,0.222888675086379,0.65056348839604,0.516805515246657,NA,111
"eduBachelors",1.00201472068198,0.335864516181644,2.98338964792595,0.00357452747189572,NA,111
"eduPost. Grad.",0.761429529873886,0.39050646063587,1.94985129985823,0.0539664620779766,NA,111
"eduSome College",0.41536088483602,0.314704819575835,1.31984278282059,0.189871235619202,NA,111
"raceOther",-0.207307282563686,0.268260935211346,-0.772782225635502,0.441455995170741,NA,111
"k",NA,NA,NA,NA,0.00484,NA
"m",NA,NA,NA,NA,0.02909,NA
