"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",0.16478331793951,0.324682372219915,0.507521602767823,0.6128739023074,NA,113
"scale(k)",-0.000660822646582294,0.111707202630042,-0.00591566730724467,0.995291450404707,NA,113
"scale(m)",0.0898999910397568,0.110272222298345,0.815255094764749,0.416807473319798,NA,113
"sexfemale",-0.608301710252029,0.195705512254478,-3.10825026461721,0.0024331270150409,NA,113
"income<50k",-0.128238322056995,0.307296410957811,-0.417311486513262,0.677319139948291,NA,113
"income>100k",0.112351972863019,0.232733448942853,0.482749571981837,0.630298010921182,NA,113
"eduBachelors",-0.214726055698884,0.351272349317061,-0.611280836981195,0.542360438400154,NA,113
"eduPost. Grad.",0.0915747526073789,0.410099909257205,0.223298641477985,0.823745347640264,NA,113
"eduSome College",0.153621330418253,0.328399462607094,0.467788007929994,0.640924469049311,NA,113
"raceOther",0.106264206947602,0.276965201359544,0.383673495536553,0.70201128477454,NA,113
"k",NA,NA,NA,NA,-2e-05,NA
"m",NA,NA,NA,NA,0.00647,NA
