"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.419062880860133,0.327230648170481,-1.28063457137367,0.203198313968962,NA,113
"scale(k)",-0.0112326094601518,0.111765754111544,-0.100501352578371,0.920141674942651,NA,113
"scale(m)",0.0768223663820803,0.110029753616302,0.698196295612701,0.486627751964107,NA,113
"sexfemale",0.13717150891351,0.193803610247941,0.707786138442008,0.480676608378635,NA,113
"income<50k",0.00954168911626318,0.310307413594312,0.0307491497084815,0.97552909798851,NA,113
"income>100k",0.345103136539741,0.235352426589155,1.46632495590187,0.145606222598854,NA,113
"eduBachelors",-0.109554784801711,0.354701408830246,-0.308864814388551,0.75804823287294,NA,113
"eduPost. Grad.",0.422822456840995,0.412437945757751,1.02517836001769,0.307680701108093,NA,113
"eduSome College",0.320765106504573,0.331481404435649,0.967671495934076,0.335475166062507,NA,113
"raceOther",0.687812306875877,0.279839959786145,2.45787737891867,0.0156449993032364,NA,113
"k",NA,NA,NA,NA,0.00011,NA
"m",NA,NA,NA,NA,0.00491,NA
