"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.436797971344924,0.326682732332389,-1.33707088901319,0.184294888881456,NA,108
"scale(k)",-0.0682986367120894,0.113926425046176,-0.599497760808408,0.550224520122626,NA,108
"scale(m)",-0.0510897984709405,0.112551767460315,-0.453922667086987,0.650888161649345,NA,108
"sexfemale",-0.140129978174202,0.208583176059768,-0.67181822053591,0.503280119392917,NA,108
"income<50k",0.0102916207338586,0.306092255673609,0.0336226106446571,0.973246478034054,NA,108
"income>100k",-0.316958534380764,0.235000257357956,-1.34875824368978,0.180523139662024,NA,108
"eduBachelors",0.633924975042538,0.356343655816522,1.77897084652726,0.0783450674992548,NA,108
"eduPost. Grad.",0.973017290132794,0.424019359564191,2.29474732269976,0.0238807450154989,NA,108
"eduSome College",0.400917732633909,0.331417753650917,1.20970505718953,0.229302139538422,NA,108
"raceOther",0.451853873104955,0.284069429056584,1.590645901622,0.114910134879163,NA,108
"k",NA,NA,NA,NA,0.00365,NA
"m",NA,NA,NA,NA,0.0021,NA
