"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.311773676614776,0.3171904883455,-0.982922527850759,0.328066011547669,NA,108
"scale(k)",-0.114607317370536,0.110616126349421,-1.03608145713318,0.302713956377411,NA,108
"scale(m)",-0.325068087245102,0.109281411447736,-2.97459634661258,0.00369383914300677,NA,108
"sexfemale",-0.154390788622166,0.202522487193284,-0.76233899139713,0.447688668061488,NA,108
"income<50k",-0.0881209268734857,0.297198298063401,-0.296505489592969,0.767471543415134,NA,108
"income>100k",-0.190202206953157,0.22817198160583,-0.833591423515501,0.406538412636819,NA,108
"eduBachelors",0.426217584850942,0.345989570370864,1.2318798638759,0.220941619933813,NA,108
"eduPost. Grad.",0.394688305737355,0.411698857689447,0.958682052100997,0.340078153447369,NA,108
"eduSome College",0.38320926050717,0.321787926702977,1.19087519669713,0.236579053194537,NA,108
"raceOther",0.496729973989556,0.275815376843387,1.80095098277138,0.0747863334971272,NA,108
"k",NA,NA,NA,NA,0.01084,NA
"m",NA,NA,NA,NA,0.08281,NA
