"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.386829401440292,0.326047234224333,-1.18642135505477,0.238324253942152,NA,108
"scale(k)",-0.00032559842972168,0.1137048032082,-0.00286354156143686,0.997721048525515,NA,108
"scale(m)",-0.168361282196539,0.112332819752951,-1.49877197569516,0.13714723938381,NA,108
"sexfemale",-0.37054231627956,0.208177417809823,-1.77993521188769,0.0781860457073502,NA,108
"income<50k",0.0263540883888179,0.305496812357758,0.0862663285597739,0.931430713715965,NA,108
"income>100k",-0.0514424186086612,0.234543109782761,-0.219330334011126,0.826848908398416,NA,108
"eduBachelors",0.560574327521169,0.355650458115277,1.576194588619,0.118203740253602,NA,108
"eduPost. Grad.",0.734880995410146,0.423194511863002,1.73650880342239,0.0856163219833347,NA,108
"eduSome College",0.444830903922626,0.330773044474164,1.34482211097274,0.181786855040207,NA,108
"raceOther",0.339318291183864,0.283516826892909,1.19681887986152,0.234264388194473,NA,108
"k",NA,NA,NA,NA,0,NA
"m",NA,NA,NA,NA,0.02241,NA
