"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.439176123182604,0.322234225659949,-1.36290961111643,0.17603447420007,NA,108
"scale(k)",-0.0444681859619907,0.112375065234879,-0.395712214885449,0.693177491651919,NA,108
"scale(m)",-0.216328796620547,0.111019126647109,-1.94857231500461,0.054206505241971,NA,108
"sexfemale",-0.259430255652279,0.205742855593988,-1.26094417666797,0.210322608441081,NA,108
"income<50k",0.000302458035193959,0.301924133801894,0.00100176832963083,0.999202741036215,NA,108
"income>100k",-0.204306681228447,0.231800210004923,-0.881391268903978,0.380262685640629,NA,108
"eduBachelors",0.613791508387659,0.351491250183497,1.74624975178536,0.0839010852730202,NA,108
"eduPost. Grad.",0.766174419846916,0.418245399805749,1.83187769716717,0.0700070422945653,NA,108
"eduSome College",0.490224201733543,0.326904769208932,1.49959330027464,0.136934481049109,NA,108
"raceOther",0.477752120752732,0.280201196592712,1.70503240729258,0.0913565099430002,NA,108
"k",NA,NA,NA,NA,0.0016,NA
"m",NA,NA,NA,NA,0.0373,NA
