"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",0.0844445912426712,0.319191309836575,0.26455792698713,0.791894542131487,NA,110
"scale(k)",-0.0556537697981879,0.111477775930901,-0.49923645617656,0.618709375489174,NA,110
"scale(m)",-0.0963193731379069,0.109754858513485,-0.877586417972305,0.382271766577729,NA,110
"sexfemale",-0.415685423201549,0.200750895025058,-2.07065290119709,0.0409673139043051,NA,110
"income<50k",-0.485470735044911,0.3011344279394,-1.61213959614942,0.110083308680991,NA,110
"income>100k",0.093431636473551,0.229084678566234,0.407847600539282,0.684257439220939,NA,110
"eduBachelors",0.0810870977286646,0.346176780173942,0.234236096620695,0.815280593748746,NA,110
"eduPost. Grad.",-0.188098613766698,0.413110486198871,-0.455322776958385,0.649864117875385,NA,110
"eduSome College",0.386245861621493,0.3250082390918,1.18841867732589,0.23748319756067,NA,110
"raceOther",-0.225550840197992,0.278758905895444,-0.809125145162503,0.420364140178331,NA,110
"k",NA,NA,NA,NA,0.00258,NA
"m",NA,NA,NA,NA,0.00768,NA
