"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",0.734824746844754,0.317779952905941,2.312369739265,0.0228071728623453,NA,110
"scale(k)",0.194955323729273,0.111556567276118,1.7475916343565,0.0836043792014148,NA,110
"scale(m)",-0.0161919512909095,0.110117183575672,-0.14704291160682,0.883394197121497,NA,110
"sexfemale",-0.370363329475692,0.202628967273992,-1.82779063851661,0.0705627423716106,NA,110
"income<50k",-2.85701766949102e-05,0.299434737801384,-9.54137015120165e-05,0.99992406096272,NA,110
"income>100k",-0.434313004625403,0.226093166389878,-1.92094706602706,0.0575863992294218,NA,110
"eduBachelors",-0.458081659135922,0.343517128369714,-1.33350456587104,0.185395865154751,NA,110
"eduPost. Grad.",-0.687412657829507,0.412902466625646,-1.66483059170664,0.0990768195933978,NA,110
"eduSome College",-0.451781470225839,0.32295192657241,-1.39891244811802,0.164933206500023,NA,110
"raceOther",-0.298361971909621,0.276164066049698,-1.08037941422809,0.282571995333827,NA,110
"k",NA,NA,NA,NA,0.02964,NA
"m",NA,NA,NA,NA,0.00022,NA
