"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.114585813619344,0.314654071381017,-0.364164407968493,0.716481749437597,NA,113
"scale(k)",-0.293095462721488,0.108123504985352,-2.71074696257021,0.00786614838148847,NA,113
"scale(m)",-0.389811371527761,0.106312110243868,-3.6666694945061,0.000390724160948394,NA,113
"sexfemale",0.163268621255615,0.1877369597478,0.869666907757241,0.38650461398107,NA,113
"income<50k",0.0319597693855452,0.295887446944968,0.10801326556949,0.914195298431785,NA,113
"income>100k",-0.145306431656231,0.227514043800135,-0.638670163956466,0.524455156678221,NA,113
"eduBachelors",0.0245653877193203,0.342358107376377,0.0717534861597827,0.942937233396765,NA,113
"eduPost. Grad.",0.108386805891591,0.398042717499185,0.272299432012126,0.78593690862638,NA,113
"eduSome College",0.302484197970724,0.319070984106178,0.948015372874099,0.345340572686785,NA,113
"raceOther",-0.318470532358181,0.269684149805771,-1.18090192763478,0.240361395323458,NA,113
"k",NA,NA,NA,NA,0.06668,NA
"m",NA,NA,NA,NA,0.11569,NA
