"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.0155525328375956,0.323643134369889,-0.0480545736521657,0.961765805091474,NA,113
"scale(k)",-0.269573853967046,0.110262383328536,-2.44483971622334,0.0161889508633381,NA,113
"scale(m)",-0.289146157922374,0.108070526551115,-2.67553205439056,0.00868080190870003,NA,113
"sexfemale",0.0650072664452881,0.189249643300639,0.343500073825865,0.731922452747297,NA,113
"income<50k",0.268878076023105,0.304731310253662,0.882344763980072,0.379644975763582,NA,113
"income>100k",0.132145930853864,0.234506562653062,0.563506323059136,0.574314924118887,NA,113
"eduBachelors",-0.262750081319065,0.352779242018115,-0.744800288747073,0.458088503732543,NA,113
"eduPost. Grad.",-0.0210805081646602,0.408699411556438,-0.0515794923324698,0.958963659390039,NA,113
"eduSome College",0.0499272722106216,0.328626696593187,0.151927012407112,0.879541692534253,NA,113
"raceOther",-0.26656401826293,0.278031356901697,-0.958755232623556,0.339927201770443,NA,113
"k",NA,NA,NA,NA,0.0541,NA
"m",NA,NA,NA,NA,0.06516,NA
