"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.113845278020087,0.325095802755373,-0.350189934952047,0.726911261338555,NA,113
"scale(k)",-0.243505876691547,0.111391929166304,-2.18602800502721,0.031078116339019,NA,113
"scale(m)",-0.30727566640259,0.109410495758008,-2.80846608246996,0.00595626544093385,NA,113
"sexfemale",-0.155229854060506,0.192656241082486,-0.805734884000173,0.422251997734525,NA,113
"income<50k",0.0251921134523446,0.305860027767823,0.0823648439326889,0.934516441177412,NA,113
"income>100k",-0.0982292124441586,0.235287099802847,-0.417486604775473,0.677191481207641,NA,113
"eduBachelors",0.18645671903076,0.353959156428947,0.526774673416843,0.59948272064946,NA,113
"eduPost. Grad.",0.196649749792875,0.410976570085828,0.4784938220488,0.633312898486226,NA,113
"eduSome College",0.235574446287669,0.329824295060239,0.7142422490273,0.476692923082128,NA,113
"raceOther",-0.129354869026195,0.278873403269472,-0.463847995218107,0.643735450333626,NA,113
"k",NA,NA,NA,NA,0.04434,NA
"m",NA,NA,NA,NA,0.07123,NA
