"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.112628511263838,0.321519931740828,-0.350300246252309,0.726828728734397,NA,113
"scale(k)",-0.289341722069653,0.109203257632977,-2.64957042803711,0.00932958530950058,NA,113
"scale(m)",-0.330338798955974,0.106908579375446,-3.08991851622943,0.00257464354287719,NA,113
"sexfemale",0.0245351883120988,0.186678671555629,0.131430056297499,0.89569149357315,NA,113
"income<50k",0.175485577881229,0.302830316233254,0.579484841755611,0.563527387797599,NA,113
"income>100k",-0.0158655811937562,0.233040527258931,-0.0680807814004301,0.945853316883547,NA,113
"eduBachelors",-0.0279837425364603,0.350647252434536,-0.0798059655171111,0.93654643152628,NA,113
"eduPost. Grad.",0.111588733547311,0.405827660374863,0.274965815401139,0.783893300163001,NA,113
"eduSome College",0.204445832625603,0.326596152185647,0.62598971622112,0.53270643410287,NA,113
"raceOther",-0.234801019356215,0.276391774723451,-0.849522456271174,0.397560904137284,NA,113
"k",NA,NA,NA,NA,0.06393,NA
"m",NA,NA,NA,NA,0.08476,NA
