"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.18394530942377,0.323173426966122,-0.569184512323946,0.570617964662327,NA,102
"scale(k)",-0.0436066593425355,0.103680552067949,-0.420586681617563,0.675037725204959,NA,102
"scale(m)",-0.379581641186376,0.102192094458351,-3.71439339998141,0.000349151408691887,NA,102
"sexfemale",-0.0568313490893551,0.180464638744285,-0.314916814090566,0.753537953088993,NA,102
"income<50k",0.139135846720016,0.305550671355284,0.455360958962624,0.649922446335131,NA,102
"income>100k",-0.252779808483109,0.231831188341995,-1.09036152681153,0.278401525425002,NA,102
"eduBachelors",0.0918584212555213,0.356411446833012,0.257731400244727,0.797189833270324,NA,102
"eduPost. Grad.",0.0339128230430182,0.404739513377797,0.0837892568481766,0.933406040827233,NA,102
"eduSome College",0.452022130764201,0.330491924767421,1.36772519050898,0.174729911805119,NA,102
"raceOther",0.0703490721551447,0.27285865372859,0.257822397031689,0.797119815993042,NA,102
"k",NA,NA,NA,NA,0.00206,NA
"m",NA,NA,NA,NA,0.13008,NA
