"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.46648395802161,0.351914761181854,-1.32555950894186,0.188267869405585,NA,102
"scale(k)",-0.168452285790555,0.110821135456771,-1.52003753702978,0.131930977476656,NA,102
"scale(m)",-0.218431661387639,0.109111230781202,-2.00191730790439,0.048238661688626,NA,102
"sexfemale",-0.0591546206312227,0.190131122708159,-0.311125394878259,0.756409164147806,NA,102
"income<50k",0.33999164596254,0.332682079986374,1.02197162521187,0.309474163736106,NA,102
"income>100k",0.301301691927278,0.253083864948265,1.19052114202883,0.236904452757,NA,102
"eduBachelors",0.34783615742691,0.388744994931147,0.894766908802306,0.373246666542398,NA,102
"eduPost. Grad.",-0.0665472154869623,0.440579384507259,-0.151044778369256,0.880271092079921,NA,102
"eduSome College",0.425677694862531,0.360327672915348,1.18136276189516,0.240503496532532,NA,102
"raceOther",0.222311931111746,0.297696771658237,0.746773066679288,0.457104762834515,NA,102
"k",NA,NA,NA,NA,0.02117,NA
"m",NA,NA,NA,NA,0.0407,NA
