"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.554879732092141,0.323719988080786,-1.71407312653696,0.0898826081406039,NA,102
"scale(k)",-0.0393525367468327,0.110874501700856,-0.354928645839667,0.723455404003021,NA,102
"scale(m)",-0.255803007152398,0.109658184332653,-2.33273064577112,0.0218428260142254,NA,102
"sexfemale",-0.211864280898252,0.203499641200042,-1.0411039530531,0.300555551010142,NA,102
"income<50k",0.413964639534654,0.305254045671318,1.35613154159598,0.178376434600061,NA,102
"income>100k",-0.0337376247454246,0.224387428214893,-0.150354344776903,0.880814214038763,NA,102
"eduBachelors",0.685417171877598,0.351413792712373,1.95045608935049,0.0541654994960552,NA,102
"eduPost. Grad.",0.160026921731669,0.409357921962694,0.390921765882554,0.696758887521179,NA,102
"eduSome College",0.746283218653023,0.326604100853769,2.28497810254734,0.0246124174569071,NA,102
"raceOther",-0.161229855628335,0.26818684158381,-0.601184810843709,0.549195322760526,NA,102
"k",NA,NA,NA,NA,0.00152,NA
"m",NA,NA,NA,NA,0.05591,NA
