"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.478053759981932,0.325444067246715,-1.46892756112074,0.145263587943207,NA,102
"scale(k)",-0.120614243258654,0.108142182996314,-1.11533020618573,0.267613862415684,NA,102
"scale(m)",-0.333625685324634,0.10679568048419,-3.1239623532716,0.00238654682681985,NA,102
"sexfemale",-0.129073172762122,0.193837164418984,-0.665884548760356,0.507151093031825,NA,102
"income<50k",0.404143494134211,0.307612436044303,1.31380739781276,0.192177759349562,NA,102
"income>100k",0.0180607492553871,0.231401626413659,0.0780493617754497,0.937958289958329,NA,102
"eduBachelors",0.426841061477697,0.357182596790679,1.19502200082789,0.235149961089811,NA,102
"eduPost. Grad.",0.0697176485909732,0.408473478085936,0.170678519735633,0.864851358864694,NA,102
"eduSome College",0.61801396606785,0.331506737015578,1.86425763660667,0.0654742646249777,NA,102
"raceOther",0.0441112023346677,0.273152235951641,0.161489442621576,0.872062041289652,NA,102
"k",NA,NA,NA,NA,0.01333,NA
"m",NA,NA,NA,NA,0.09536,NA
