"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",0.252743235447289,0.318387279747,0.793823282287303,0.429177996756562,NA,110
"scale(k)",0.128731757694635,0.111285206488583,1.15677331926271,0.250120860246106,NA,110
"scale(m)",-0.218287543484125,0.109605533400568,-1.9915741177625,0.0491450894236352,NA,110
"sexfemale",-0.334059079256691,0.200659548903671,-1.66480529375186,0.0990818818399522,NA,110
"income<50k",-0.0835499265482661,0.300329733689275,-0.278193988726764,0.781437848080406,NA,110
"income>100k",-0.261251384484857,0.228269361679552,-1.1444872958974,0.255153605486893,NA,110
"eduBachelors",0.0104984413457877,0.345155282256722,0.0304165744680073,0.975795449924504,NA,110
"eduPost. Grad.",0.02843901491365,0.412279587611194,0.0689799247118435,0.945143345323795,NA,110
"eduSome College",0.122957266394924,0.324107857145617,0.379371445906296,0.705216452401841,NA,110
"raceOther",-0.587591263438267,0.277873909176617,-2.11459674346321,0.0369504698535574,NA,110
"k",NA,NA,NA,NA,0.01139,NA
"m",NA,NA,NA,NA,0.03872,NA
