"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.461804661253719,0.308934157735259,-1.49483198827584,0.138045714139405,NA,112
"scale(k)",-0.0727220271496828,0.10752736503656,-0.676311812578654,0.500373395709184,NA,112
"scale(m)",0.211392699716379,0.106840144195414,1.97858867851896,0.0505587828419146,NA,112
"sexfemale",0.288592166688949,0.190026951952933,1.51869071057052,0.131933954393557,NA,112
"income<50k",-0.156910675867998,0.293636843303951,-0.534369849854215,0.594248511209442,NA,112
"income>100k",0.242562047493676,0.221307432571993,1.09604112557208,0.27564186885525,NA,112
"eduBachelors",0.410139477206188,0.334335611337735,1.22672985855485,0.222748300008017,NA,112
"eduPost. Grad.",0.745655025453766,0.391300669430576,1.90558075594107,0.0595203739071865,NA,112
"eduSome College",0.282426174569249,0.313585886569043,0.900634201555706,0.369904399785924,NA,112
"raceOther",-0.103234788984799,0.263560987142051,-0.391692223133003,0.696102762394672,NA,112
"k",NA,NA,NA,NA,0.00454,NA
"m",NA,NA,NA,NA,0.03712,NA
