"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.461308984739817,0.309020516366735,-1.49281021908704,0.138573633941486,NA,112
"scale(k)",-0.0536301718264561,0.104478519796216,-0.513312898489193,0.60884251983862,NA,112
"scale(m)",0.21318739890872,0.102813766459574,2.07352970569895,0.0406426031267865,NA,112
"sexfemale",0.176588668347677,0.178140776494902,0.991287182094046,0.323891134739423,NA,112
"income<50k",-0.148832747375858,0.294284710960271,-0.505744069714687,0.614127551108015,NA,112
"income>100k",0.167320045155257,0.222690089691068,0.751358290741072,0.454167147404187,NA,112
"eduBachelors",0.624161849785725,0.336601831653581,1.85430318878387,0.0665848769975646,NA,112
"eduPost. Grad.",0.727896876795567,0.389166243283778,1.8704008617335,0.0642952384890313,NA,112
"eduSome College",0.264838462582408,0.315073765147879,0.840560185828569,0.402560471332515,NA,112
"raceOther",-0.165814218214581,0.265787398065554,-0.623860346357296,0.534112040179644,NA,112
"k",NA,NA,NA,NA,0.00262,NA
"m",NA,NA,NA,NA,0.03964,NA
