"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",0.00212940121999623,0.318025634953103,0.00669569049146066,0.994671125783302,NA,109
"scale(k)",-0.1269052011184,0.109667284900212,-1.15718376026062,0.249981723292287,NA,109
"scale(m)",-0.205557452396278,0.108200776036773,-1.89977798612477,0.0603725665785469,NA,109
"sexfemale",-0.257749076065615,0.199711098176815,-1.29060967777272,0.199845059759318,NA,109
"income<50k",-0.508334267342809,0.300053361712258,-1.69414621599969,0.0933813718514587,NA,109
"income>100k",-0.254194682319357,0.228036849854746,-1.1147087958866,0.267674001654143,NA,109
"eduBachelors",0.362055824676086,0.346740058697105,1.04417074288022,0.298949361927502,NA,109
"eduPost. Grad.",0.218926796418465,0.410953734288087,0.532728572956567,0.595415241670877,NA,109
"eduSome College",0.466283367745097,0.32318064720805,1.44279483246694,0.152234819031563,NA,109
"raceOther",-0.420211187789368,0.277097851575776,-1.51647219709481,0.132586679979077,NA,109
"k",NA,NA,NA,NA,0.01352,NA
"m",NA,NA,NA,NA,0.03539,NA
