"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",0.440342072097568,0.32816620361708,1.34182638932369,0.182721864307205,NA,109
"scale(k)",0.0419342494566672,0.112369170650563,0.373182868698668,0.709810212080946,NA,109
"scale(m)",-0.0658521172480946,0.11052855663359,-0.595792791055788,0.552673345043767,NA,109
"sexfemale",-0.401310709819854,0.20247180806435,-1.98205722394847,0.0502450789972068,NA,109
"income<50k",-0.423427935445401,0.309880610616347,-1.36642281233153,0.174901820372971,NA,109
"income>100k",-0.221285095513472,0.236729233136298,-0.934760327576722,0.352186278226141,NA,109
"eduBachelors",-0.0777963433121437,0.358948529050767,-0.21673397998837,0.828861663250747,NA,109
"eduPost. Grad.",-0.35156226692824,0.422592472113596,-0.831917959091656,0.407457449081307,NA,109
"eduSome College",0.00236625360788846,0.334045562844772,0.00708362532265709,0.994362386609508,NA,109
"raceOther",-0.384849371879571,0.287233882111177,-1.33984670976459,0.183362536990081,NA,109
"k",NA,NA,NA,NA,0.00103,NA
"m",NA,NA,NA,NA,0.00354,NA
