"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.221791633723782,0.326737726309217,-0.678806320375393,0.49879789125642,NA,112
"scale(k)",-0.0585629047531729,0.112324949251387,-0.521370409187606,0.603238948080147,NA,112
"scale(m)",0.173072485787287,0.109596096037022,1.57918477067671,0.117389967693764,NA,112
"sexfemale",0.103434526205821,0.192903600542668,0.536198007268107,0.592989155801145,NA,112
"income<50k",0.0954698686078448,0.309710231668886,0.308255455731642,0.758516595558552,NA,112
"income>100k",-0.147833377396432,0.237379248855573,-0.622772959764387,0.534823626304507,NA,112
"eduBachelors",0.471071061089815,0.356140886255201,1.322709858009,0.188889815133634,NA,112
"eduPost. Grad.",0.651543263720963,0.41282916782558,1.5782394135393,0.117607004166568,NA,112
"eduSome College",-0.0250947712982608,0.331869021630336,-0.0756164922383551,0.93987232699575,NA,112
"raceOther",-0.0756975280983146,0.280571383821719,-0.269797750102749,0.787860931245711,NA,112
"k",NA,NA,NA,NA,0.0028,NA
"m",NA,NA,NA,NA,0.02406,NA
