"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",0.324557939730465,0.327860285760387,0.989927581432245,0.324598773346563,NA,110
"scale(k)",0.0272923425021659,0.109685814742536,0.24882289990031,0.804008093309811,NA,110
"scale(m)",-0.0836113926229279,0.106535944263763,-0.784818618736995,0.434415250243064,NA,110
"sexfemale",-0.305344869053506,0.186995786148205,-1.63289705796633,0.105635569664416,NA,110
"income<50k",-0.346362184152293,0.309809873948903,-1.11798303823402,0.266252859953333,NA,110
"income>100k",-0.047980440603082,0.237198793747605,-0.202279446050372,0.84010922500119,NA,110
"eduBachelors",-0.151562685017224,0.358882728766504,-0.422318135894006,0.67369945370656,NA,110
"eduPost. Grad.",-0.22175957041316,0.420198570863599,-0.527749463681888,0.598842306187379,NA,110
"eduSome College",0.154657631966693,0.335653273509135,0.460766046908474,0.645966960877947,NA,110
"raceOther",-0.588893288552914,0.290448832983453,-2.02752850649761,0.0452688009450685,NA,110
"k",NA,NA,NA,NA,0.00041,NA
"m",NA,NA,NA,NA,0.0063,NA
