"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",0.0648019762109559,0.319603212294949,0.202757587277167,0.8397284080004,NA,112
"scale(k)",-0.0853640168260533,0.111132343599695,-0.768129367752193,0.444185028458913,NA,112
"scale(m)",0.195796870860144,0.108879055356203,1.79829692882241,0.0750879723526832,NA,112
"sexfemale",0.102842372332072,0.193870786555672,0.530468639237403,0.596940063265111,NA,112
"income<50k",-0.109188599767507,0.302348859277208,-0.361134485602268,0.718745829213425,NA,112
"income>100k",-0.237676991360284,0.231482186109086,-1.02676147722348,0.306961582057953,NA,112
"eduBachelors",0.269707583297633,0.347500322065713,0.776136211023801,0.439464538797658,NA,112
"eduPost. Grad.",0.105051414922525,0.404848277052412,0.259483418547252,0.795785274166819,NA,112
"eduSome College",-0.265340369426159,0.323992694705541,-0.81897022297775,0.41471276926779,NA,112
"raceOther",0.00516757341860081,0.2735853391127,0.0188883418803085,0.984967078493624,NA,112
"k",NA,NA,NA,NA,0.00589,NA
"m",NA,NA,NA,NA,0.03059,NA
