"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",0.0969112479950404,0.340189829843923,0.284874030594926,0.776323960966541,NA,111
"scale(k)",0.0420885693001145,0.113675695874139,0.370251257108772,0.711970596053251,NA,111
"scale(m)",-0.0810231068151862,0.111284815754788,-0.728069739484653,0.468255494999156,NA,111
"sexfemale",-0.235246150520194,0.190077156623693,-1.2376350462035,0.218720878083547,NA,111
"income<50k",-0.00128776198371327,0.325897162912688,-0.00395143661946599,0.99685501215237,NA,111
"income>100k",0.196274739230964,0.244850899829087,0.801609221644558,0.424660969175114,NA,111
"eduBachelors",-0.305809342339111,0.370369969759286,-0.825686117418929,0.410928259888694,NA,111
"eduPost. Grad.",-0.341340194962397,0.427107531758249,-0.79919029654481,0.426055540232845,NA,111
"eduSome College",0.0635774417693446,0.347434467093595,0.182991176152415,0.855171772041432,NA,111
"raceOther",0.233345035164827,0.292551393821104,0.797620657748491,0.426961925417956,NA,111
"k",NA,NA,NA,NA,0.00146,NA
"m",NA,NA,NA,NA,0.0052,NA
