"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",0.0738590476258851,0.324063899707745,0.227915073824929,0.820173029495543,NA,111
"scale(k)",0.0308365451744259,0.110188579743516,0.279852460628893,0.780163037212264,NA,111
"scale(m)",-0.222741611838333,0.108436691744636,-2.05411663021665,0.0425473329652414,NA,111
"sexfemale",-0.198197100868151,0.187779316728615,-1.05547886913761,0.293724607297609,NA,111
"income<50k",0.10753312691212,0.310393174646281,0.346441660757079,0.729731521752257,NA,111
"income>100k",0.326472288900309,0.233802050503653,1.39636195746371,0.165666844887776,NA,111
"eduBachelors",-0.352760009393541,0.352153014437877,-1.00172366820893,0.318870991128136,NA,111
"eduPost. Grad.",-0.386975736973461,0.407350976306027,-0.949981120660775,0.344389529178629,NA,111
"eduSome College",0.0321688938156076,0.330507583299198,0.0973317873511125,0.922655800317441,NA,111
"raceOther",0.203955766600182,0.278017396087075,0.733607930549437,0.464887207186838,NA,111
"k",NA,NA,NA,NA,0.00077,NA
"m",NA,NA,NA,NA,0.04016,NA
