"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",0.153389036387803,0.309846827293692,0.495047949102967,0.621620692688155,NA,113
"scale(k)",-0.0802383284076282,0.103442908179399,-0.775677422646244,0.439716839140435,NA,113
"scale(m)",0.213199951084878,0.100927285330198,2.11241142954915,0.0370688151200287,NA,113
"sexfemale",-0.433888071383115,0.174091187446982,-2.49230347466756,0.0142862877468368,NA,113
"income<50k",0.170222500614281,0.294627929440271,0.577754121741501,0.564691044701928,NA,113
"income>100k",0.175583055118035,0.223205556574105,0.786642849815172,0.43329715993851,NA,113
"eduBachelors",0.0376633407052322,0.337016762237365,0.11175509626048,0.911235087942604,NA,113
"eduPost. Grad.",0.321121274524384,0.389244562766811,0.824985896377855,0.411286155438719,NA,113
"eduSome College",-0.205673460209207,0.314749249719415,-0.653451788662104,0.514921166441048,NA,113
"raceOther",-0.461611406107071,0.266202650839085,-1.73406014046835,0.0858993571143419,NA,113
"k",NA,NA,NA,NA,0.00563,NA
"m",NA,NA,NA,NA,0.04169,NA
