"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.206620121485091,0.319631767907724,-0.646431744997079,0.519451673379792,NA,112
"scale(k)",-0.00981014676491386,0.11194862526724,-0.0876307926202344,0.930341937805967,NA,112
"scale(m)",0.205025367386751,0.111518047758221,1.83849494775286,0.0688992704762916,NA,112
"sexfemale",0.331486683488731,0.199608258125153,1.66068621910869,0.0998475599008891,NA,112
"income<50k",-0.0470705955138698,0.303354338798443,-0.155167042279045,0.87699627488501,NA,112
"income>100k",0.15960934353483,0.2273259317592,0.702116746205178,0.484205473749941,NA,112
"eduBachelors",0.115377397254451,0.344833943482695,0.334588283534914,0.738622718846476,NA,112
"eduPost. Grad.",0.446650787921703,0.406188188611294,1.0996154010503,0.27408828262753,NA,112
"eduSome College",-0.0154854646370295,0.323744092614561,-0.0478324237887051,0.961943327219495,NA,112
"raceOther",-0.146833838853803,0.27165176754063,-0.540522302443114,0.590015246771551,NA,112
"k",NA,NA,NA,NA,1e-05,NA
"m",NA,NA,NA,NA,0.03263,NA
