"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.0638458223663707,0.323296458027903,-0.197483828792397,0.843838134817445,NA,113
"scale(k)",-0.0727688491046765,0.11305515177944,-0.643657966570525,0.521227849325466,NA,113
"scale(m)",-0.16862232522481,0.11144255647601,-1.51308737484955,0.13331989966102,NA,113
"sexfemale",0.107221413023296,0.202375366137931,0.529814547439623,0.597380728736526,NA,113
"income<50k",0.256334277022109,0.302439585353489,0.847555311658385,0.398650846486419,NA,113
"income>100k",-0.435763044139271,0.230896962602948,-1.88726191642725,0.061940455471489,NA,113
"eduBachelors",0.136072265727786,0.350175249848035,0.388583333022073,0.698386464987695,NA,113
"eduPost. Grad.",0.311459199058784,0.41174551564845,0.756436165596782,0.451114437264,NA,113
"eduSome College",0.0452043992108838,0.326293571912797,0.138539043064461,0.89008491255727,NA,113
"raceOther",-0.0147235294329749,0.275416839433631,-0.0534590748454323,0.957469687115292,NA,113
"k",NA,NA,NA,NA,0.00381,NA
"m",NA,NA,NA,NA,0.0208,NA
