"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.319216474387007,0.303386248760849,-1.05217845466238,0.295179883833513,NA,113
"scale(k)",-0.109678029920797,0.105795626657395,-1.03669719993223,0.302304727619646,NA,113
"scale(m)",-0.232055729224941,0.104194354641142,-2.22714301580128,0.0281139428516681,NA,113
"sexfemale",0.129889082929524,0.188548530165976,0.688889395293537,0.492441731077387,NA,113
"income<50k",0.311360515187671,0.284190447177226,1.0956051418347,0.275806802952314,NA,113
"income>100k",-0.124044547842013,0.217568942564386,-0.570139039055651,0.569824965583071,NA,113
"eduBachelors",-0.00130936758059864,0.329123680733085,-0.00397834509410618,0.9968334433575,NA,113
"eduPost. Grad.",0.301190610844012,0.385713130078149,0.780866886182972,0.436671802530557,NA,113
"eduSome College",0.227778033819667,0.306524321826264,0.743099381029772,0.459113074906533,NA,113
"raceOther",0.57282625254242,0.258904323242125,2.21250168930829,0.0291398854033505,NA,113
"k",NA,NA,NA,NA,0.01057,NA
"m",NA,NA,NA,NA,0.0462,NA
