"","Estimate","Std. Error","t value","Pr(>|t|)","rsqrd","n"
"(Intercept)",-0.00219732379022773,0.323699425321516,-0.00678816092442929,0.994597002993007,NA,113
"scale(k)",0.00528555811358503,0.113365692930795,0.046623965125072,0.962903210763497,NA,113
"scale(m)",-0.14815122444171,0.111799964513826,-1.32514554084128,0.188054989207776,NA,113
"sexfemale",-0.146929047997257,0.203416172353302,-0.722307603655353,0.471742147961453,NA,113
"income<50k",0.0649017233685446,0.302571326588044,0.214500574460942,0.830580815686683,NA,113
"income>100k",-0.281687916193042,0.230567751882373,-1.2217142852516,0.224604480738452,NA,113
"eduBachelors",0.167820380345297,0.350279859601638,0.479103710205188,0.632880456274835,NA,113
"eduPost. Grad.",0.567058154894993,0.412703757586161,1.37400773429257,0.172421992948115,NA,113
"eduSome College",-0.124056394470372,0.326491425340286,-0.379968308022404,0.704751305851718,NA,113
"raceOther",0.261986639829628,0.275474474574217,0.951037805715262,0.343811521957439,NA,113
"k",NA,NA,NA,NA,0,NA
"m",NA,NA,NA,NA,0.0167,NA
